Category,Category_Definition,Topic,Topic_Definition,Sub_Topic,Sub_Topic_Definition,Polarity,Survey_Channel,Est_Count,Est_Pct,Actionable_Owner
Policy,Feedback about AT&T company policies contracts terms of service business practices or decisions that impact the customer experience — distinct from pricing or product quality.,Cancellation & Switching Intent,Customer expresses intent to cancel service or switch to a competitor — with or without a stated reason.,Canceling / Leaving AT&T (General),"Customer states they are leaving or have left AT&T without specifying a detailed reason. Include: 'cancel my account' 'I want to cancel' 'I'm leaving AT&T' 'im leaving att' 'I am dropping AT&T' 'I am cancelling ATT' 'I cancelled service' 'done with AT&T' 'leaving this company'. Primary churn signal — flag for retention outreach.",Negative,All,280,0.3%,Retention
Policy,Feedback about AT&T company policies contracts terms of service business practices or decisions that impact the customer experience — distinct from pricing or product quality.,Cancellation & Switching Intent,Customer expresses intent to cancel service or switch to a competitor — with or without a stated reason.,Switching to Competitor — Verizon,"Customer names Verizon specifically as the competitor they are switching to. Include: 'going to Verizon' 'switching to Verizon' 'Verizon is better' 'Verizon offers more' 'going to Verison'. Track separately for competitive intelligence — Verizon is primary wireless competitor.",Negative,All,TBD,TBD,Retention / Competitive Intel
Policy,Feedback about AT&T company policies contracts terms of service business practices or decisions that impact the customer experience — distinct from pricing or product quality.,Cancellation & Switching Intent,Customer expresses intent to cancel service or switch to a competitor — with or without a stated reason.,Switching to Competitor — T-Mobile,"Customer names T-Mobile specifically as the competitor they are switching to. Include: 'going to T-Mobile' 'switching to T-Mobile' 'T-Mobile is cheaper' 'I'm going to T-Mobile' 'T-Mobile has better deals'. Track separately — T-Mobile is primary value/price competitor.",Negative,All,TBD,TBD,Retention / Competitive Intel
Policy,Feedback about AT&T company policies contracts terms of service business practices or decisions that impact the customer experience — distinct from pricing or product quality.,Cancellation & Switching Intent,Customer expresses intent to cancel service or switch to a competitor — with or without a stated reason.,Switching to Competitor — Xfinity / Spectrum / Other ISP,"Customer names a cable/ISP competitor for internet service. Include: 'going to Xfinity' 'switching to Spectrum' 'Comcast is cheaper' 'going back to cable' 'Google Fiber' 'Frontier has better speeds'. Track for broadband competitive intelligence.",Negative,All,TBD,TBD,Retention / Competitive Intel
Policy,Feedback about AT&T company policies contracts terms of service business practices or decisions that impact the customer experience — distinct from pricing or product quality.,Cancellation & Switching Intent,Customer expresses intent to cancel service or switch to a competitor — with or without a stated reason.,Switching Reason — Price / Cost,"Customer explicitly states price or cost as their reason for switching. Include: 'too expensive so I'm leaving' 'can get it cheaper elsewhere' 'leaving because of the price' 'cost is why I'm switching' 'can't justify the bill'. Overlaps with Pricing category — use when switching intent is explicit.",Negative,All,TBD,TBD,Retention / Pricing
Policy,Feedback about AT&T company policies contracts terms of service business practices or decisions that impact the customer experience — distinct from pricing or product quality.,Cancellation & Switching Intent,Customer expresses intent to cancel service or switch to a competitor — with or without a stated reason.,Switching Reason — Service Quality / Coverage,"Customer states poor service quality or coverage as the reason for switching. Include: 'leaving because service is terrible' 'coverage is why I'm leaving' 'switching because of all the outages' 'can't deal with dropped calls anymore' 'service is the reason I'm going'. Root cause signal for churn prevention.",Negative,All,TBD,TBD,Retention / Network
Policy,Feedback about AT&T company policies contracts terms of service business practices or decisions that impact the customer experience — distinct from pricing or product quality.,Cancellation & Switching Intent,Customer expresses intent to cancel service or switch to a competitor — with or without a stated reason.,Switching Reason — Poor Customer Service,"Customer states bad customer service experience as the reason for switching. Include: 'leaving because of how I was treated' 'service experience is why I'm done' 'customer service drove me away' 'terrible support is why I'm switching' 'if this is how you treat customers I'm leaving'. CX-driven churn — highest preventability.",Negative,All,TBD,TBD,Retention / CX Leadership
Policy,Feedback about AT&T company policies contracts terms of service business practices or decisions that impact the customer experience — distinct from pricing or product quality.,Cancellation & Switching Intent,Customer expresses intent to cancel service or switch to a competitor — with or without a stated reason.,Retention Save — Stayed Because of Rep / Offer,"Customer was considering leaving but stayed because of a good retention interaction or offer. Include: 'was going to leave but they kept me' 'glad I stayed' 'offer convinced me to stay' 'rep saved my account' 'was about to cancel but they made it right'. Retention success signal — track what worked.",Positive,All,TBD,TBD,Retention
Policy,Feedback about AT&T company policies contracts terms of service business practices or decisions that impact the customer experience — distinct from pricing or product quality.,Contract & Terms Complaints,Feedback about specific policies terms contracts or business practices the customer finds unfair or confusing.,Contract Terms Unfair / Confusing,"Customer complains about contract terms length or conditions they find unfair. Include: 'your policies ****' 'lying in contract' 'honor your contract' 'your policies' 'bad policies' 'terms are unfair' 'locked in' 'contract is ridiculous' 'trapped in a contract' 'didn't know about the 2-year commitment'. Tag for policy review.",Negative,All,110,0.1%,Policy / Legal
Policy,Feedback about AT&T company policies contracts terms of service business practices or decisions that impact the customer experience — distinct from pricing or product quality.,Contract & Terms Complaints,Feedback about specific policies terms contracts or business practices the customer finds unfair or confusing.,Early Termination Fee / Cancellation Fee Complaint,"Customer complains about being charged to cancel or leave — ETF or cancellation penalty. Include: 'early termination fee' 'charged me to cancel' 'fee to leave' 'can't cancel without paying' 'penalized for leaving' 'exit fee' 'breakup fee'. Policy friction — competitive disadvantage if competitors don't charge.",Negative,All,TBD,TBD,Policy / Pricing
