Category,Category_Definition,Topic,Topic_Definition,Sub_Topic,Sub_Topic_Definition,Polarity,Survey_Channel,Est_Count,Est_Pct,Actionable_Owner
People,Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.,IHE Setup & Onboarding Assistance,How well the In-Home Expert helped the customer set up devices configure apps connect equipment and feel confident using their new services.,IHE Helped Set Up Devices / Apps / Connectivity Successfully,"In-Home Expert successfully helped customer set up phones TVs apps WiFi or other devices. Include: 'set up my phone' 'connected all my devices' 'got everything working' 'helped with my TV setup' 'showed me how to use the app' 'connected my WiFi' 'set up my streaming' 'configured everything' 'got me all set up'. Primary IHE value-add signal.",Positive,IHE,TBD,TBD,IHE Management
People,Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.,IHE Setup & Onboarding Assistance,How well the In-Home Expert helped the customer set up devices configure apps connect equipment and feel confident using their new services.,IHE Did Not Complete Setup / Left Issues Unresolved,"In-Home Expert left before completing setup or devices were not working after the visit. Include: 'didn't finish setting up' 'left and things don't work' 'TV still not connected' 'WiFi not working after they left' 'didn't set up all my devices' 'left before everything was done' 'some devices not connected'. Service delivery failure.",Negative,IHE,TBD,TBD,IHE Management / QA
People,Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.,IHE Setup & Onboarding Assistance,How well the In-Home Expert helped the customer set up devices configure apps connect equipment and feel confident using their new services.,IHE Explained Services / Left Customer Confident,"IHE took time to explain how services work and customer felt confident after the visit. Include: 'explained everything' 'showed me how everything works' 'I feel confident now' 'walked me through it all' 'took time to teach me' 'made sure I understood' 'great tutorial' 'answered all my questions about the service'. Onboarding quality signal.",Positive,IHE,TBD,TBD,IHE Management
People,Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.,IHE Setup & Onboarding Assistance,How well the In-Home Expert helped the customer set up devices configure apps connect equipment and feel confident using their new services.,IHE Did Not Explain / Customer Left Confused,"IHE left without explaining how things work or customer still doesn't understand their services. Include: 'didn't explain anything' 'left and I don't know how to use it' 'never showed me' 'had no idea how to use it after' 'wish they explained more' 'didn't walk me through it' 'still confused'. Onboarding gap — recontact risk.",Negative,IHE,TBD,TBD,IHE Training / QA
People,Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.,IHE Sales Conduct,How the In-Home Expert handled the sales aspect of their visit — whether upselling was welcome helpful or felt pressured and unwanted.,IHE Recommended Relevant Products / Helpful Upsell,"IHE suggested additional products or services that the customer found valuable and relevant. Include: 'glad they told me about' 'didn't know I could get' 'great recommendation' 'happy they offered' 'made a good suggestion' 'saved me money by bundling' 'recommended the right plan'. Positive sales behavior — value-added selling.",Positive,IHE,TBD,TBD,IHE Sales Leadership
People,Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.,IHE Sales Conduct,How the In-Home Expert handled the sales aspect of their visit — whether upselling was welcome helpful or felt pressured and unwanted.,IHE Was Too Pushy / Unwanted Upsell,"IHE pressured the customer to buy wireless or additional services they did not want. Include: 'kept pushing wireless' 'too pushy' 'just wanted internet not wireless' 'wouldn't take no for an answer' 'felt like a sales pitch' 'pressured me into adding lines' 'hard sell in my home' 'aggressive about adding services' 'didn't want wireless kept selling it'. Critical CX risk — customer in their own home.",Negative,IHE,TBD,TBD,IHE Sales Leadership / QA
People,Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.,IHE Sales Conduct,How the In-Home Expert handled the sales aspect of their visit — whether upselling was welcome helpful or felt pressured and unwanted.,IHE Added Services Without Clear Consent,"Customer reports IHE added services or features without clearly explaining or gaining explicit agreement. Include: 'added stuff I didn't ask for' 'found charges I didn't agree to' 'didn't know they added wireless' 'never agreed to that' 'signed me up for things I didn't want' 'unauthorized additions'. Compliance risk — escalation trigger.",Negative,IHE,TBD,TBD,Compliance / IHE QA
People,Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.,IHE Professionalism & Home Respect,How the IHE conducted themselves in the customer's home — respect for the space timeliness cleanliness and overall professionalism.,IHE Was Professional / Respectful in Home,"IHE was professional respectful of the home and conducted themselves appropriately. Include: 'very professional in my home' 'respectful' 'wore shoe covers' 'cleaned up after themselves' 'was very neat' 'polite in my house' 'treated my home with respect' 'very courteous in our home'. Trust signal for in-home channel.",Positive,IHE,TBD,TBD,IHE Management
People,Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.,IHE Professionalism & Home Respect,How the IHE conducted themselves in the customer's home — respect for the space timeliness cleanliness and overall professionalism.,IHE Was Unprofessional / Did Not Respect Home,"IHE was unprofessional disrespectful of the customer's property or made the customer uncomfortable in their own home. Include: 'left a mess' 'didn't clean up' 'tracked dirt' 'was on their phone the whole time' 'made me uncomfortable' 'unprofessional in my home' 'rude in my house' 'damaged something'. High severity — trust violation in personal space.",Negative,IHE,TBD,TBD,IHE Management / Escalations
People,Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.,Door-to-Door Sales Experience,Customer feedback about unsolicited door-to-door sales interactions — including the approach manner honesty and outcome of the visit.,D2D Rep Was Informative / Good Experience,"Customer had a positive interaction with a door-to-door sales representative. Include: 'nice guy came to my door' 'explained the offer well' 'glad they stopped by' 'got a great deal from the rep who came by' 'door-to-door rep was very informative' 'happy they knocked' 'signed up because of the rep who visited'. Positive acquisition signal.",Positive,IHE,TBD,TBD,D2D Sales Leadership
People,Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.,Door-to-Door Sales Experience,Customer feedback about unsolicited door-to-door sales interactions — including the approach manner honesty and outcome of the visit.,D2D Rep Was Aggressive / Wouldn't Leave,"Door-to-door rep was too aggressive would not leave or made the customer uncomfortable. Include: 'wouldn't leave my porch' 'too aggressive at my door' 'felt harassed' 'kept knocking' 'wouldn't take no' 'pushy door salesman' 'scared my family' 'came back multiple times' 'intimidating'. High brand risk — complaint escalation trigger.",Negative,IHE,TBD,TBD,D2D Sales Leadership / Compliance
People,Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.,Door-to-Door Sales Experience,Customer feedback about unsolicited door-to-door sales interactions — including the approach manner honesty and outcome of the visit.,D2D Rep Was Dishonest About Offers / Pricing,"Door-to-door rep misrepresented pricing promotions or terms to get the customer to sign up. Include: 'lied at my door' 'said it would be $X and it's not' 'misrepresented the deal' 'promised things that weren't true' 'bait and switch at my door' 'not what they said at the door' 'door rep lied about the price'. Compliance/legal risk — high severity.",Negative,IHE,TBD,TBD,Compliance / D2D QA
People,Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.,Door-to-Door Sales Experience,Customer feedback about unsolicited door-to-door sales interactions — including the approach manner honesty and outcome of the visit.,Customer Does Not Want D2D Visits / Stop Solicitation,"Customer explicitly requests to stop receiving door-to-door visits or expresses frustration with unsolicited contact at their home. Include: 'stop sending people to my door' 'do not knock on my door' 'no soliciting' 'don't come to my house' 'stop the door salespeople' 'put me on a do not knock list' 'I have a no soliciting sign'. Compliance/opt-out signal.",Negative,IHE,TBD,TBD,D2D Operations / Compliance
People,Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.,Sales Transparency & Offer Accuracy,Whether the sales interaction — regardless of channel — accurately represented what the customer would receive in terms of pricing features and terms.,Offer / Promotion Was Clearly Explained,"Customer felt the offer promotion or deal was clearly explained and they knew what they were getting. Include: 'explained the deal clearly' 'understood exactly what I was getting' 'transparent about the cost' 'laid out all the details' 'no surprises' 'made it very clear what I'd pay'. Trust-building signal across all sales channels.",Positive,All,TBD,TBD,Sales Training
