Category,Category_Definition,Topic,Topic_Definition,Sub_Topic,Sub_Topic_Definition,Polarity,Survey_Channel,Est_Count,Est_Pct,Actionable_Owner
People,Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.,Store Greeting & Initial Engagement,Whether the customer was acknowledged promptly upon entering the store and made to feel welcome.,Customer Was Greeted Promptly / Felt Welcomed,"Customer was greeted quickly upon arrival or felt immediately welcomed. Include: 'greeted right away' 'someone came up to me immediately' 'felt welcome' 'warm greeting' 'checked in right away' 'friendly welcome' 'acknowledged as soon as I walked in' 'signed me in quickly'. Strong first-impression driver for retail NPS.",Positive,Retail | National Retail,TBD,TBD,Retail Operations
People,Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.,Store Greeting & Initial Engagement,Whether the customer was acknowledged promptly upon entering the store and made to feel welcome.,Customer Was Ignored / Not Acknowledged,"Customer was not greeted or felt invisible upon entering the store. Include: 'no one greeted me' 'waited and no one came' 'felt ignored' 'walked in and no one said anything' 'stood there and no one acknowledged me' 'had to find someone myself' 'no one looked up'. Key retail CX failure point — signals understaffing or culture issue.",Negative,Retail | National Retail,TBD,TBD,Retail Operations / Management
People,Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.,Store Wait & Queue Experience,Time spent waiting in the store before being helped — includes check-in queue walk-in wait and appointment timeliness.,Wait in Store Was Short / Seen Quickly,"Customer was helped quickly or wait time was acceptable. Include: 'didn't wait long' 'seen right away' 'quick check-in' 'no wait' 'in and out' 'was seen immediately' 'barely waited' 'fast service in store'. Positive operational signal.",Positive,Retail | National Retail,TBD,TBD,Retail Operations
People,Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.,Store Wait & Queue Experience,Time spent waiting in the store before being helped — includes check-in queue walk-in wait and appointment timeliness.,Wait in Store Was Too Long,"Customer waited too long before being helped. Include: 'waited over an hour' 'long wait in store' 'took forever' 'waited 45 minutes' 'too long a wait' 'ridiculous wait time' 'sat there for an hour' 'wait was unacceptable' 'left because of the wait'. Primary retail detractor — staffing signal.",Negative,Retail | National Retail,TBD,TBD,Retail Operations / Staffing
People,Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.,Store Wait & Queue Experience,Time spent waiting in the store before being helped — includes check-in queue walk-in wait and appointment timeliness.,Appointment Was Honored / On Time,"Customer had an appointment and was seen at or near the scheduled time. Include: 'my appointment was on time' 'seen at my scheduled time' 'appointment went smoothly' 'glad I made an appointment' 'checked in for my appointment and was seen right away'. Track appointment adherence rate.",Positive,Retail | National Retail,TBD,TBD,Retail Operations
People,Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.,Store Wait & Queue Experience,Time spent waiting in the store before being helped — includes check-in queue walk-in wait and appointment timeliness.,Appointment Was Not Honored / Still Waited,"Customer had an appointment but still waited a long time or appointment was not respected. Include: 'had an appointment and still waited' 'appointment meant nothing' 'made an appointment for nothing' 'appointment wasn't honored' 'scheduled and still had to wait 30 minutes'. Signals process failure — appointment system not delivering on promise.",Negative,Retail | National Retail,TBD,TBD,Retail Operations / Process
People,Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.,Store Environment & Atmosphere,The physical store environment — cleanliness organization ambiance comfort staffing levels and overall appearance.,Store Was Clean / Welcoming / Well Organized,"Customer positively comments on the physical store environment. Include: 'nice store' 'clean store' 'well organized' 'great atmosphere' 'store looked good' 'comfortable environment' 'modern store' 'beautiful location' 'inviting'. Track for facilities and brand perception.",Positive,Retail | National Retail,TBD,TBD,Retail Facilities
People,Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.,Store Environment & Atmosphere,The physical store environment — cleanliness organization ambiance comfort staffing levels and overall appearance.,Store Was Understaffed,"Customer observed or experienced understaffing — too few associates for demand. Include: 'not enough people working' 'understaffed' 'only one person working' 'need more employees' 'too busy not enough staff' 'store was packed with no help' 'short staffed'. Directly causes long wait — operational signal.",Negative,Retail | National Retail,TBD,TBD,Retail Staffing / HR
People,Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.,Store Environment & Atmosphere,The physical store environment — cleanliness organization ambiance comfort staffing levels and overall appearance.,Store Was Dirty / Disorganized / Uncomfortable,"Customer negatively comments on physical store condition. Include: 'store was dirty' 'messy' 'disorganized' 'too hot' 'too cold' 'cramped' 'run down' 'needs renovation' 'broken displays' 'uncomfortable chairs'. Low frequency but brand impact.",Negative,Retail | National Retail,TBD,TBD,Retail Facilities
People,Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.,Device Expertise & Demo Quality,How well the store associate demonstrated devices explained features and helped the customer choose the right product.,Associate Demonstrated Device Well / Good Product Guidance,"Associate showed strong device knowledge gave good demos or helped customer choose right device. Include: 'showed me how to use it' 'great demo' 'helped me pick the right phone' 'knew the devices well' 'explained the differences between phones' 'walked me through features' 'set up my phone perfectly'. Retail-specific knowledge signal.",Positive,Retail | National Retail,TBD,TBD,Retail Training
