Category,Category_Definition,Topic,Topic_Definition,Sub_Topic,Sub_Topic_Definition,Polarity,Survey_Channel,Est_Count,Est_Pct,Actionable_Owner
Platform,Feedback about digital channels technology tools or systems used to access or manage AT&T services — including the app website account portal online chat and in-store systems.,App Experience,Customer feedback about the myAT&T mobile app — usability performance features and functionality.,App Is Easy to Use / Works Well,"Customer positively comments on the myAT&T app experience. Include: 'app is great' 'love the app' 'app makes it easy' 'easy to manage my account on the app' 'app works perfectly' 'convenient app' 'love managing things from the app'. Digital adoption signal.",Positive,All,TBD,TBD,Digital Product
Platform,Feedback about digital channels technology tools or systems used to access or manage AT&T services — including the app website account portal online chat and in-store systems.,App Experience,Customer feedback about the myAT&T mobile app — usability performance features and functionality.,App Not Working / Crashes / Errors,"Customer reports the myAT&T app is not functioning crashing or displaying errors. Include: 'app is not working' 'app keeps crashing' 'app won't load' 'error in the app' 'app froze' 'can't open the app' 'app glitches' 'app is broken' 'white screen on app'. Digital engineering signal — track for release correlation.",Negative,All,155,0.2%,Digital Engineering
Platform,Feedback about digital channels technology tools or systems used to access or manage AT&T services — including the app website account portal online chat and in-store systems.,App Experience,Customer feedback about the myAT&T mobile app — usability performance features and functionality.,App Is Confusing / Hard to Navigate,"App works technically but customer finds it confusing or hard to use — UX/design issue rather than bug. Include: 'app is confusing' 'can't find what I need in the app' 'hard to navigate' 'app isn't intuitive' 'too many steps in the app' 'where is the bill pay in the app' 'not user friendly'. UX design signal — distinct from crashes.",Negative,All,TBD,TBD,Digital UX / Design
Platform,Feedback about digital channels technology tools or systems used to access or manage AT&T services — including the app website account portal online chat and in-store systems.,Website Experience,Customer feedback about the AT&T website — usability performance navigation and online account management.,Website Is Easy to Use / Works Well,"Customer positively comments on the AT&T website. Include: 'website was easy' 'easy to use online' 'website works great' 'did everything online' 'website is user friendly'. Digital channel success signal.",Positive,All,45,0.1%,Digital Product
Platform,Feedback about digital channels technology tools or systems used to access or manage AT&T services — including the app website account portal online chat and in-store systems.,Website Experience,Customer feedback about the AT&T website — usability performance navigation and online account management.,Website Not Working / Technical Issues,"Customer reports AT&T website is down broken or has technical issues. Include: 'your website ****' 'website issue' 'website won't load' 'site is down' 'can't access website' 'website gives errors' 'page won't load' 'website is broken'. Digital infrastructure signal.",Negative,All,TBD,TBD,Digital Engineering
Platform,Feedback about digital channels technology tools or systems used to access or manage AT&T services — including the app website account portal online chat and in-store systems.,Website Experience,Customer feedback about the AT&T website — usability performance navigation and online account management.,Website Is Confusing / Can't Find Information,"Website works but customer cannot find what they need or finds it confusing to navigate. Include: 'can't find it on the website' 'website is confusing' 'too hard to navigate your site' 'buried on the website' 'couldn't figure out the website' 'information isn't clear online'. UX signal.",Negative,All,TBD,TBD,Digital UX / Design
Platform,Feedback about digital channels technology tools or systems used to access or manage AT&T services — including the app website account portal online chat and in-store systems.,Account Access & Login,Customer feedback about accessing logging into or managing their account through digital channels.,Account Access Issue / Can't Log In,"Customer cannot access log into or manage their account. Include: 'can't log in' 'account locked' 'can't access my account' 'login not working' 'forgot password and can't reset' 'locked out' 'account set up' 'need to get email' 'voicemail locked' 'can't get into my account'. Digital access failure signal — drives inbound calls.",Negative,All,110,0.1%,Digital / IT Support
Platform,Feedback about digital channels technology tools or systems used to access or manage AT&T services — including the app website account portal online chat and in-store systems.,Account Access & Login,Customer feedback about accessing logging into or managing their account through digital channels.,Password Reset / Verification Too Difficult,"Customer finds the authentication password reset or verification process too cumbersome. Include: 'verification is too hard' 'too many steps to verify' 'can't reset password' 'security questions don't work' 'verification code never came' 'PIN doesn't work' 'locked out because of security'. Security vs. usability tension signal.",Negative,All,TBD,TBD,Digital / Identity
Platform,Feedback about digital channels technology tools or systems used to access or manage AT&T services — including the app website account portal online chat and in-store systems.,Online Chat Experience,Customer feedback about the live chat or messaging support channel.,Chat Was Helpful / Easy to Use,"Customer had a positive live chat experience. Include: 'chat was great' 'easy to chat' 'nice easy chat' 'chat agent was helpful' 'prefer chatting' 'chat was quick' 'resolved through chat'. Digital channel preference signal.",Positive,Care,TBD,TBD,Digital / Operations
Platform,Feedback about digital channels technology tools or systems used to access or manage AT&T services — including the app website account portal online chat and in-store systems.,Online Chat Experience,Customer feedback about the live chat or messaging support channel.,Chat Was Unhelpful / Couldn't Resolve via Chat,"Customer tried chat but it couldn't resolve their issue or the experience was poor. Include: 'chat couldn't help' 'chat is useless' 'had to call after chatting' 'chat agent didn't know' 'chat was no help' 'couldn't resolve in chat' 'chat gave wrong info'. Channel effectiveness signal.",Negative,Care,TBD,TBD,Digital / Training
Platform,Feedback about digital channels technology tools or systems used to access or manage AT&T services — including the app website account portal online chat and in-store systems.,Online Chat Experience,Customer feedback about the live chat or messaging support channel.,Long Wait for Chat / Slow Responses,"Customer experienced long wait to connect to chat or slow response times during chat. Include: 'waited forever for chat' 'slow chat response' 'chat took too long' 'typing for 20 minutes waiting' 'chat queue was long' 'takes forever between messages'. Chat capacity signal.",Negative,Care,TBD,TBD,Digital Operations / Staffing
Platform,Feedback about digital channels technology tools or systems used to access or manage AT&T services — including the app website account portal online chat and in-store systems.,Self-Service & Digital Tools,Customer feedback about ability to self-serve — pay bills check usage manage plans or troubleshoot without needing a rep.,Self-Service Was Easy / Managed It Myself,"Customer successfully self-served without needing human assistance. Include: 'did it myself online' 'managed it through the app' 'self-service was easy' 'didn't need to call' 'handled it online' 'paid my bill on the app' 'easy to check my usage'. Digital containment success.",Positive,All,TBD,TBD,Digital Product
