"Category","Category_Definition","Topic","Topic_Definition","Sub_Topic","Sub_Topic_Definition","Polarity","Survey_Channel","Est_Count","Est_Pct","Notes","Taxonomy"
"People","Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.","Device Expertise & Demo Quality","How well the store associate demonstrated devices explained features and helped the customer choose the right product.","Associate Demonstrated Device Well / Good Product Guidance","Associate showed strong device knowledge gave good demos or helped customer choose right device (including but not limited to: ""showed me how to use it"", ""great demo"", ""helped me pick the right phone"", ""knew the devices well"", ""explained the differences between phones"", ""walked me through features"", ""set up my phone perfectly"", or similar language). Retail-specific knowledge signal.","Positive","Retail | National Retail","9486","9.779%","High-impact sub-topic with strong share of verbatims. Keep as a standalone sub-topic.","Associate Demonstrated Device Well / Good Product Guidance->Associate showed strong device knowledge gave good demos or helped customer choose right device. Include: 'showed me how to use it' 'great demo' 'helped me pick the right phone' 'knew the devices well' 'explained the differences between phones' 'walked me through features' 'set up my phone perfectly'. Retail-specific knowledge signal."
"People","Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.","Device Expertise & Demo Quality","How well the store associate demonstrated devices explained features and helped the customer choose the right product.","Associate Lacked Device Knowledge / Poor Guidance","Associate could not answer device questions, gave poor recommendations, or struggled with setup (including but not limited to: ""didn't know the devices"", ""no idea how to set it up"", ""recommended the wrong phone"", ""didn't know how to help me"", or similar language). Training gap signal.","Negative","Retail | National Retail","359","0.37%","Material signal with usable volume. Keep as standalone and tune examples as needed.","Associate Lacked Device Knowledge / Poor Guidance->Associate could not answer device questions gave poor recommendations or struggled with setup. Include: 'didn't know the phone' 'couldn't answer my questions about the device' 'no idea how to set it up' 'recommended the wrong phone' 'didn't know features' 'couldn't help with my phone'. Training gap signal."
"People","Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.","Door-to-Door Sales Experience","Customer feedback about unsolicited door-to-door sales interactions — including the approach manner honesty and outcome of the visit.","Customer Does Not Want D2D Visits / Stop Solicitation","Customer explicitly requests to stop receiving door-to-door visits or expresses frustration with unsolicited contact at their home (including but not limited to: ""stop sending people to my door"", ""do not knock on my door"", ""don't come to my house"", ""no soliciting"", ""stop the door salespeople"", ""put me on a do not knock list"", ""I have a no soliciting sign"", or similar language). Compliance/opt-out signal.","Negative","IHE","250","0.258%","Material signal with usable volume. Keep as standalone and tune examples as needed.","Customer Does Not Want D2D Visits / Stop Solicitation->Customer explicitly requests to stop receiving door-to-door visits or expresses frustration with unsolicited contact at their home. Include: 'stop sending people to my door' 'do not knock on my door' 'no soliciting' 'don't come to my house' 'stop the door salespeople' 'put me on a do not knock list' 'I have a no soliciting sign'. Compliance/opt-out signal."
"People","Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.","Door-to-Door Sales Experience","Customer feedback about unsolicited door-to-door sales interactions — including the approach manner honesty and outcome of the visit.","D2D Rep Was Aggressive / Wouldn't Leave","Door-to-door rep was too aggressive would not leave or made the customer uncomfortable (including but not limited to: ""wouldn't leave my porch"", ""too aggressive at my door"", ""felt harassed"", ""kept knocking"", ""wouldn't take no"", ""pushy door salesman"", ""scared my family"", ""came back multiple times"", ""intimidating"", or similar language). High brand risk — complaint escalation trigger.","Negative","IHE","97","0.1%","Material signal with usable volume. Keep as standalone and tune examples as needed.","D2D Rep Was Aggressive / Wouldn't Leave->Door-to-door rep was too aggressive would not leave or made the customer uncomfortable. Include: 'wouldn't leave my porch' 'too aggressive at my door' 'felt harassed' 'kept knocking' 'wouldn't take no' 'pushy door salesman' 'scared my family' 'came back multiple times' 'intimidating'. High brand risk — complaint escalation trigger."
"People","Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.","Door-to-Door Sales Experience","Customer feedback about unsolicited door-to-door sales interactions — including the approach manner honesty and outcome of the visit.","D2D Rep Was Dishonest About Offers / Pricing","Door-to-door rep misrepresented pricing, promotions, or terms to get the customer to sign up (including but not limited to: ""lied at my door"", ""said it would be $X and it's not"", ""bait and switch at my door"", ""not what they said at the door"", ""door rep lied about the price"", or similar language). Compliance/legal risk — high severity.","Negative","IHE","89","0.092%","Material signal with usable volume. Keep as standalone and tune examples as needed. Context may align more with Pricing; review category placement.","D2D Rep Was Dishonest About Offers / Pricing->Door-to-door rep misrepresented pricing promotions or terms to get the customer to sign up. Include: 'lied at my door' 'said it would be $X and it's not' 'misrepresented the deal' 'promised things that weren't true' 'bait and switch at my door' 'not what they said at the door' 'door rep lied about the price'. Compliance/legal risk — high severity."
"People","Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.","Door-to-Door Sales Experience","Customer feedback about unsolicited door-to-door sales interactions — including the approach manner honesty and outcome of the visit.","D2D Rep Was Informative / Good Experience","Customer had a positive interaction with a door-to-door sales representative (including but not limited to: ""nice guy came to my door"", ""explained the offer well"", ""glad they stopped by"", ""got a great deal from the rep who came by"", ""door-to-door rep was very informative"", ""happy they knocked"", ""signed up because of the rep who visited"", or similar language). Positive acquisition signal.","Positive","IHE","4596","4.738%","High-impact sub-topic with strong share of verbatims. Keep as a standalone sub-topic.","D2D Rep Was Informative / Good Experience->Customer had a positive interaction with a door-to-door sales representative. Include: 'nice guy came to my door' 'explained the offer well' 'glad they stopped by' 'got a great deal from the rep who came by' 'door-to-door rep was very informative' 'happy they knocked' 'signed up because of the rep who visited'. Positive acquisition signal."
"People","Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.","IHE Professionalism & Home Respect","How the IHE conducted themselves in the customer's home — respect for the space timeliness cleanliness and overall professionalism.","IHE Was Professional / Respectful in Home","IHE was professional respectful of the home and conducted themselves appropriately (including but not limited to: ""very professional in my home"", ""respectful"", ""wore shoe covers"", ""cleaned up after themselves"", ""was very neat"", ""polite in my house"", ""treated my home with respect"", ""very courteous in our home"", or similar language). Trust signal for in-home channel.","Positive","IHE","5362","5.528%","High-impact sub-topic with strong share of verbatims. Keep as a standalone sub-topic.","IHE Was Professional / Respectful in Home->IHE was professional respectful of the home and conducted themselves appropriately. Include: 'very professional in my home' 'respectful' 'wore shoe covers' 'cleaned up after themselves' 'was very neat' 'polite in my house' 'treated my home with respect' 'very courteous in our home'. Trust signal for in-home channel."
"People","Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.","IHE Professionalism & Home Respect","How the IHE conducted themselves in the customer's home — respect for the space timeliness cleanliness and overall professionalism.","IHE Was Unprofessional / Did Not Respect Home","IHE was unprofessional disrespectful of the customer's property or made the customer uncomfortable in their own home (including but not limited to: ""left a mess"", ""didn't clean up"", ""tracked dirt"", ""was on their phone the whole time"", ""made me uncomfortable"", ""unprofessional in my home"", ""damaged something"", or similar language). High severity — trust violation in personal space.","Negative","IHE","82","0.085%","Material signal with usable volume. Keep as standalone and tune examples as needed.","IHE Was Unprofessional / Did Not Respect Home->IHE was unprofessional disrespectful of the customer's property or made the customer uncomfortable in their own home. Include: 'left a mess' 'didn't clean up' 'tracked dirt' 'was on their phone the whole time' 'made me uncomfortable' 'unprofessional in my home' 'rude in my house' 'damaged something'. High severity — trust violation in personal space."
"People","Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.","IHE Sales Conduct","How the In-Home Expert handled the sales aspect of their visit — whether upselling was welcome helpful or felt pressured and unwanted.","IHE Added Services Without Clear Consent","Customer reports IHE added services or features without clearly explaining or gaining explicit agreement (including but not limited to: ""added stuff I didn't ask for"", ""found charges I didn't agree to"", ""didn't know they added wireless"", ""never agreed to that"", ""signed me up for things I didn't want"", ""unauthorized additions"", or similar language). Compliance risk — escalation trigger.","Negative","IHE","164","0.169%","Material signal with usable volume. Keep as standalone and tune examples as needed.","IHE Added Services Without Clear Consent->Customer reports IHE added services or features without clearly explaining or gaining explicit agreement. Include: 'added stuff I didn't ask for' 'found charges I didn't agree to' 'didn't know they added wireless' 'never agreed to that' 'signed me up for things I didn't want' 'unauthorized additions'. Compliance risk — escalation trigger."
"People","Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.","IHE Sales Conduct","How the In-Home Expert handled the sales aspect of their visit — whether upselling was welcome helpful or felt pressured and unwanted.","IHE Recommended Relevant Products / Helpful Upsell","IHE suggested additional products or services that the customer found valuable and relevant (including but not limited to: ""glad they told me about it"", ""didn't push, just suggested"", ""recommended the right plan"", ""helpful upgrade suggestion"", or similar language). Positive sales behavior — value-added selling.","Positive","IHE","3141","3.238%","High-impact sub-topic with strong share of verbatims. Keep as a standalone sub-topic.","IHE Recommended Relevant Products / Helpful Upsell->IHE suggested additional products or services that the customer found valuable and relevant. Include: 'glad they told me about' 'didn't know I could get' 'great recommendation' 'happy they offered' 'made a good suggestion' 'saved me money by bundling' 'recommended the right plan'. Positive sales behavior — value-added selling."
