Category,Category_Definition,Topic,Topic_Definition,Sub_Topic,Sub_Topic_Definition,Polarity,Survey_Channel,Est_Count,Est_Pct,Actionable_Owner
Pricing,Feedback about cost pricing fees billing charges or the perceived value of AT&T products and services.,Bill Amount & Affordability,How customers feel about the overall level of their bill — whether it is too high acceptable or a good value.,Bill Is Too High / Too Expensive,"Customer states bill or prices are too high too expensive or unaffordable. Include: 'too expensive' 'bill is too high' 'paying too much' 'prices are too high' 'my bill is high' 'very expensive' 'bill too high' 'muy caro el servicio' 'costs too much' 'overpriced' 'can't afford this'. Primary pricing dissatisfier — track monthly for trend.",Negative,All,1100,1.3%,Pricing Strategy
Pricing,Feedback about cost pricing fees billing charges or the perceived value of AT&T products and services.,Bill Amount & Affordability,How customers feel about the overall level of their bill — whether it is too high acceptable or a good value.,Request to Lower Bill / Reduce Costs,"Customer explicitly requests bill reduction or cheaper options — distinct from stating it's too high by making a direct request. Include: 'lower my bill' 'lower my phone bill' 'reduce my bill' 'need lower prices' 'cheaper prices' 'lower the cost' 'lower your rates' 'need my bill lower' 'bring my bill down' 'get my payment lower'. Direct churn prevention signal — retention opportunity.",Negative,All,890,1.0%,Pricing / Retention
Pricing,Feedback about cost pricing fees billing charges or the perceived value of AT&T products and services.,Bill Amount & Affordability,How customers feel about the overall level of their bill — whether it is too high acceptable or a good value.,Pricing Positive / Good Value / Saved Money,"Customer is positive about pricing value or mentions saving money. Include: 'helped me save money' 'good deal' 'great value' 'love to save money' 'transparent prices' 'fair price' 'reasonable' 'affordable' 'good price for what I get' 'saved me money on my bill'. Track as retention/acquisition signal.",Positive,All,120,0.1%,Marketing
Pricing,Feedback about cost pricing fees billing charges or the perceived value of AT&T products and services.,Bill Increase & Rate Changes,Feedback specifically about bills going up or unexpected price increases — month over month or mid-contract.,Bill Increased / Price Went Up Unexpectedly,"Customer reports unexpected bill increase without explanation or consent. Include: 'bill increase' 'prices went up' 'price increase' 'my bill went up' 'bill keeps going up' 'rate increase' 'went up $20' 'bill jumped' 'higher than last month' 'keeps increasing every month'. Track month-over-month for anomaly detection.",Negative,All,420,0.5%,Pricing Strategy
Pricing,Feedback about cost pricing fees billing charges or the perceived value of AT&T products and services.,Bill Increase & Rate Changes,Feedback specifically about bills going up or unexpected price increases — month over month or mid-contract.,Promotion Expired / Price Jumped After Promo,"Customer's promotional rate ended and bill increased significantly — often without clear warning. Include: 'promo ended and bill doubled' 'promotion expired' 'price went up after my deal ended' 'introductory rate is over' 'my discount ended' 'was $50 now it's $90' 'promotional period over'. Retention-critical moment — distinct from general increase.",Negative,All,280,0.3%,Retention / Pricing
Pricing,Feedback about cost pricing fees billing charges or the perceived value of AT&T products and services.,Bill Increase & Rate Changes,Feedback specifically about bills going up or unexpected price increases — month over month or mid-contract.,Corporate Greed / Predatory Pricing Language,"Customer uses strong language implying AT&T is exploitative greedy or predatory in pricing practices. Include: 'corporate greed' 'money hungry' 'you charge too much' 'you're too expensive' 'yall money hungry' 'ripping people off' 'price gouging' 'nickel and dime' 'squeezing customers'. Churn risk + brand reputation signal.",Negative,All,140,0.2%,Pricing / Brand
Pricing,Feedback about cost pricing fees billing charges or the perceived value of AT&T products and services.,Billing Errors & Disputes,Customer reports incorrect charges unauthorized charges or billing discrepancies that need correction.,Billing Error / Incorrect Charge / Overcharge,"Customer reports being incorrectly charged or overcharged for services. Include: 'overcharged' 'wrong charge' 'billing error' 'att over charge me' 'billing issues' 'cobros k no acepte' 'incorrect bill' 'charged twice' 'charged for something I don't have' 'double charged'. Escalation flag — track for systemic billing system issues.",Negative,All,220,0.3%,Billing Operations
Pricing,Feedback about cost pricing fees billing charges or the perceived value of AT&T products and services.,Billing Errors & Disputes,Customer reports incorrect charges unauthorized charges or billing discrepancies that need correction.,Refund / Credit Request,"Customer is requesting a refund or account credit for overcharges or service failures. Include: 'refund my money' 'give me a refund' 'credit my account' 'I want money back' 'refund 5 months' 'reimburse' 'I need my money back' 'where is my credit' 'credit was never applied'. Revenue protection signal — track for resolution rate.",Negative,All,185,0.2%,Billing Operations
Pricing,Feedback about cost pricing fees billing charges or the perceived value of AT&T products and services.,Billing Errors & Disputes,Customer reports incorrect charges unauthorized charges or billing discrepancies that need correction.,Refund / Credit Was Applied Successfully,"Customer confirms a credit or refund was applied — resolution of a billing dispute. Include: 'got my credit' 'refund was applied' 'they credited my account' 'money back' 'credit showed up' 'got the adjustment'. Service recovery success — track alongside dispute volume.",Positive,All,95,0.1%,Billing Operations
Pricing,Feedback about cost pricing fees billing charges or the perceived value of AT&T products and services.,Billing Errors & Disputes,Customer reports incorrect charges unauthorized charges or billing discrepancies that need correction.,Fraud / Scam Allegation,"Customer believes they were scammed or defrauded by AT&T — intentional financial harm alleged. Include: 'I was scammed' 'this is a fraud' 'stole my money' 'you scammed us' 'son un fraude' 'THIS IS A FRAUD' 'you guys scammed me' 'ATT is always lying' 'att is full of liars' 'theft'. Legal/compliance flag — HIGH severity.",Negative,All,130,0.1%,Legal / Compliance
