Category,Category_Definition,Topic,Topic_Definition,Sub_Topic,Sub_Topic_Definition,Polarity,Survey_Channel,Est_Count,Est_Pct,Actionable_Owner
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolve issues navigate systems and complete the customer's goal.,Appointment Scheduling,The customer's experience scheduling a technician visit service appointment or installation — including availability convenience of time windows and ease of the scheduling process.,Scheduling Was Easy / Convenient Time Offered,"Customer found it easy to schedule an appointment or was offered a convenient time window. Include: 'easy to schedule' 'got an appointment right away' 'scheduled quickly' 'convenient time' 'fit my schedule' 'next day appointment' 'same day available' 'scheduling was smooth'. Positive operations signal.",Positive,Care | IHE,TBD,TBD,Field Operations / Scheduling
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolve issues navigate systems and complete the customer's goal.,Appointment Scheduling,The customer's experience scheduling a technician visit service appointment or installation — including availability convenience of time windows and ease of the scheduling process.,Scheduling Was Difficult / No Availability,"Customer had trouble scheduling or no convenient appointment was available. Include: 'no appointments available' 'earliest was 2 weeks out' 'couldn't get an appointment' 'scheduling was a nightmare' 'nothing available for days' 'too far out' 'had to wait a week' 'no openings'. Capacity/staffing signal for field ops.",Negative,Care | IHE,TBD,TBD,Field Operations / Scheduling
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolve issues navigate systems and complete the customer's goal.,Appointment Scheduling,The customer's experience scheduling a technician visit service appointment or installation — including availability convenience of time windows and ease of the scheduling process.,Appointment Window Too Wide / Inconvenient,"Customer complains about the size of the appointment window or inconvenience of available times. Include: '4-hour window is ridiculous' 'waited all day' 'too wide a window' 'had to take off work' 'can't give a specific time' 'between 8am and noon is too broad' 'need a tighter window'. Process design signal — competitive disadvantage.",Negative,Care | IHE,TBD,TBD,Field Operations / Process Design
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolve issues navigate systems and complete the customer's goal.,Appointment Scheduling,The customer's experience scheduling a technician visit service appointment or installation — including availability convenience of time windows and ease of the scheduling process.,Appointment Rescheduled Without Notice,"Customer's appointment was changed or canceled by AT&T without adequate notification or consent. Include: 'changed my appointment without telling me' 'rescheduled without asking' 'showed up on wrong day' 'appointment was moved' 'canceled my appointment' 'no one told me it was rescheduled'. Trust violation — distinct from no-show.",Negative,Care | IHE,TBD,TBD,Field Operations / Communications
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolve issues navigate systems and complete the customer's goal.,Technician Visit Timeliness,Whether the technician arrived on time within the window or was late/no-show for the scheduled appointment.,Technician Arrived On Time / Within Window,"Technician arrived on time or within the scheduled window. Include: 'tech was on time' 'showed up when they said' 'arrived within the window' 'right on schedule' 'punctual' 'came early even'. Positive field ops signal — track for on-time rate.",Positive,Care | IHE,TBD,TBD,Field Operations
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolve issues navigate systems and complete the customer's goal.,Technician Visit Timeliness,Whether the technician arrived on time within the window or was late/no-show for the scheduled appointment.,Technician Was Late,"Technician arrived after the scheduled window or significantly late. Include: 'tech was late' 'showed up 2 hours late' 'came after the window' 'was supposed to be here at 10' 'late arrival' 'didn't come on time' 'waited past my window'. Distinct from no-show — tech eventually came.",Negative,Care | IHE,TBD,TBD,Field Operations
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolve issues navigate systems and complete the customer's goal.,Technician Visit Timeliness,Whether the technician arrived on time within the window or was late/no-show for the scheduled appointment.,Technician No-Show / Did Not Show Up,"Technician did not show up at all for the scheduled appointment. Include: 'never showed up' 'he didn't show up' 'he never came' 'no one showed up' 'did not show up' 'did he even show up' 'waited all day and no one came' 'missed appointment completely'. Schedule/dispatch failure — high severity.",Negative,Care | IHE,85,0.1%,Field Operations / Escalations
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolve issues navigate systems and complete the customer's goal.,Installation & Service Activation,The customer's experience with initial service installation setup and activation — including internet wireless and equipment installation.,Installation Was Smooth / Quick,"Customer had a positive installation experience — service was set up properly and efficiently. Include: 'installation was easy' 'quick install' 'everything was set up perfectly' 'smooth installation' 'up and running fast' 'tech did a great job installing' 'installed in under an hour'. Track for new customer NPS.",Positive,Care | IHE,TBD,TBD,Field Operations / Onboarding
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolve issues navigate systems and complete the customer's goal.,Installation & Service Activation,The customer's experience with initial service installation setup and activation — including internet wireless and equipment installation.,Installation Had Problems / Not Done Correctly,"Installation was incomplete had issues or was done incorrectly requiring follow-up. Include: 'installation was botched' 'didn't install correctly' 'had problems after install' 'internet didn't work after installation' 'tech left and it wasn't working' 'had to come back to fix install' 'installation failed'. Rework/recontact driver.",Negative,Care | IHE,TBD,TBD,Field Operations / QA
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolve issues navigate systems and complete the customer's goal.,Installation & Service Activation,The customer's experience with initial service installation setup and activation — including internet wireless and equipment installation.,Service Activation Delayed / Not Active Yet,"Customer's service was supposed to be active but is not — activation did not occur as expected. Include: 'service still not active' 'not activated yet' 'been 3 days still no service' 'activation failed' 'supposed to be on by now' 'when will my service start' 'still waiting for activation'. New customer at-risk signal.",Negative,All,TBD,TBD,Operations / Provisioning
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolve issues navigate systems and complete the customer's goal.,Installation & Service Activation,The customer's experience with initial service installation setup and activation — including internet wireless and equipment installation.,Multiple Technician Visits Required,"Customer needed more than one technician visit to complete installation or fix an issue — repeat dispatches. Include: 'tech had to come back' 'took 3 visits' 'second technician' 'another appointment needed' 'first tech couldn't fix it' 'needed a second visit' 'multiple trips to my house'. HIGH cost driver — field ops efficiency signal.",Negative,Care | IHE,TBD,TBD,Field Operations / QA
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolve issues navigate systems and complete the customer's goal.,New Customer Onboarding Experience,The overall new customer experience from purchase through first use — including welcome communications first bill clarity and initial service confidence.,Onboarding Was Smooth / Felt Welcome as New Customer,"New customer felt well onboarded — clear communications smooth activation and overall positive start. Include: 'great start' 'welcome experience was good' 'easy to get started' 'first bill made sense' 'smooth transition' 'happy new customer' 'everything was clear from the start'. Retention signal for new subscribers.",Positive,All,TBD,TBD,Onboarding / CX Design
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolve issues navigate systems and complete the customer's goal.,New Customer Onboarding Experience,The overall new customer experience from purchase through first use — including welcome communications first bill clarity and initial service confidence.,First Bill Was Confusing / Higher Than Expected,"New customer's first bill did not match expectations — confusing charges prorated amounts or higher total than quoted. Include: 'first bill was way more than they said' 'confused by my first bill' 'prorated charges make no sense' 'bill was double what I was told' 'didn't expect these charges' 'first bill shock'. Critical early churn risk — first 90 days.",Negative,All,TBD,TBD,Billing / Onboarding
