Category,Category_Definition,Topic,Topic_Definition,Sub_Topic,Sub_Topic_Definition,Polarity,Survey_Channel,Est_Count,Est_Pct,Actionable_Owner
Product,Feedback about the quality reliability or performance of AT&T's wireless internet or other products and services — the actual product experience distinct from the service interaction.,Internet / WiFi Service Quality,Customer feedback about home internet or WiFi service performance speed reliability or outages.,Internet / WiFi Not Working / Down,"Customer reports internet or WiFi is completely down or not working. Include: 'still no WiFi' 'fix my internet' 'internet ****' 'WiFi still down' 'no internet' 'internet still down' 'still no service' 'FIX MY INTERNET' 'we never got WiFi' '18 days with no WiFi' 'internet is out' 'WiFi is dead'. High-urgency service failure — outage signal.",Negative,All,480,0.6%,Network Operations
Product,Feedback about the quality reliability or performance of AT&T's wireless internet or other products and services — the actual product experience distinct from the service interaction.,Internet / WiFi Service Quality,Customer feedback about home internet or WiFi service performance speed reliability or outages.,Internet Is Slow / Poor Speed,"Customer reports slow internet or poor WiFi speed not meeting expectations. Include: 'internet is slow' 'slow internet' 'poor WiFi speed' 'faster WiFi speed' 'need faster internet' 'internet not great' 'poor internet' 'speeds are terrible' 'buffering constantly' 'can barely stream' 'not getting the speeds I pay for'. Network engineering signal.",Negative,All,145,0.2%,Network Engineering
Product,Feedback about the quality reliability or performance of AT&T's wireless internet or other products and services — the actual product experience distinct from the service interaction.,Internet / WiFi Service Quality,Customer feedback about home internet or WiFi service performance speed reliability or outages.,Internet / WiFi Intermittent / Drops Connection,"Internet works sometimes but drops out intermittently or is unreliable. Include: 'keeps dropping' 'in and out' 'intermittent' 'WiFi keeps disconnecting' 'drops every few hours' 'unstable connection' 'cuts in and out' 'randomly disconnects' 'spotty internet'. Distinct from total outage — harder to diagnose.",Negative,All,120,0.1%,Network Engineering
Product,Feedback about the quality reliability or performance of AT&T's wireless internet or other products and services — the actual product experience distinct from the service interaction.,Internet / WiFi Service Quality,Customer feedback about home internet or WiFi service performance speed reliability or outages.,Internet / WiFi Service Positive,"Customer is satisfied with internet service quality speed or reliability. Include: 'great WiFi' 'love my internet' 'great wifi services' 'I like my internet' 'I love my internet' 'fast internet' 'internet works great' 'reliable service' 'speeds are excellent'. Track retention signal for broadband.",Positive,All,85,0.1%,Product Marketing
Product,Feedback about the quality reliability or performance of AT&T's wireless internet or other products and services — the actual product experience distinct from the service interaction.,Internet / WiFi Service Quality,Customer feedback about home internet or WiFi service performance speed reliability or outages.,WiFi Coverage / Dead Spots in Home,"Customer reports WiFi does not reach parts of their home — coverage gaps within the residence. Include: 'no signal in my bedroom' 'WiFi doesn't reach upstairs' 'dead spots' 'no coverage in the back of house' 'need an extender' 'WiFi weak in some rooms' 'can't get signal in basement'. Equipment/topology issue — extender opportunity.",Negative,All,TBD,TBD,Technical Support / Equipment
Product,Feedback about the quality reliability or performance of AT&T's wireless internet or other products and services — the actual product experience distinct from the service interaction.,Service Outage,Customer reports or references a service outage — planned or unplanned — affecting their area or account. Distinct from individual device or account issues.,Experienced Service Outage / Area Outage,"Customer reports a broader service outage affecting their area — not just their individual account. Include: 'outage in my area' 'whole neighborhood is down' 'service outage' 'outage for 3 days' 'area-wide outage' 'everyone on my street' 'been down since the storm' 'outage map shows my area'. Network ops — track by geography.",Negative,All,TBD,TBD,Network Operations
Product,Feedback about the quality reliability or performance of AT&T's wireless internet or other products and services — the actual product experience distinct from the service interaction.,Service Outage,Customer reports or references a service outage — planned or unplanned — affecting their area or account. Distinct from individual device or account issues.,Outage Duration Was Excessive,"Customer complains specifically about how long an outage lasted. Include: 'been out for a week' '5 days without service' 'outage lasted 3 days' 'still out after a week' 'how long does an outage last' 'been down too long' 'unacceptable downtime'. Duration-specific — severity escalation signal.",Negative,All,TBD,TBD,Network Operations / Leadership
Product,Feedback about the quality reliability or performance of AT&T's wireless internet or other products and services — the actual product experience distinct from the service interaction.,Service Outage,Customer reports or references a service outage — planned or unplanned — affecting their area or account. Distinct from individual device or account issues.,No Communication During Outage / No ETA,"Customer was not informed about outage status timeline or estimated restoration. Include: 'no update on the outage' 'when will it be fixed' 'no ETA' 'no one can tell me when' 'how much longer' 'no communication about the outage' 'just want to know when'. Overlaps with Proactive Communication (Process) but specific to outage context.",Negative,All,TBD,TBD,Communications / Network Ops
Product,Feedback about the quality reliability or performance of AT&T's wireless internet or other products and services — the actual product experience distinct from the service interaction.,Service Outage,Customer reports or references a service outage — planned or unplanned — affecting their area or account. Distinct from individual device or account issues.,Wants Credit / Refund for Outage Period,"Customer requests financial credit or refund for days/time without service during an outage. Include: 'want a credit for the outage' 'shouldn't pay for days without service' 'refund for downtime' 'credit me for the outage' 'not paying for days it was down' 'prorate my bill for the outage'. Pricing overlap but outage-driven — policy signal.",Negative,All,TBD,TBD,Billing Policy / Network Ops
Product,Feedback about the quality reliability or performance of AT&T's wireless internet or other products and services — the actual product experience distinct from the service interaction.,Wireless / Mobile Service Quality,Customer feedback about wireless phone service signal reliability dropped calls or mobile service performance.,Wireless / Phone Service Not Working,"Customer reports phone or wireless service is not working — calls won't connect or mobile service is completely down. Include: 'fix my phone' 'still no phone' 'phone went dead' 'mala cobertura' 'landline still dead' 'tower was down' 'no service' 'can't make calls' 'phone service is out' 'no dial tone'. Separate from device issues.",Negative,All,220,0.3%,Network Operations
