Category,Category_Definition,Topic,Topic_Definition,Sub_Topic,Sub_Topic_Definition,Polarity,Survey_Channel,Est_Count,Est_Pct,Actionable_Owner
People,Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.,Rep Helpfulness,The rep's actual ability to help resolve or address the customer's need — taking action rather than just being pleasant.,Rep Was Helpful,"Customer explicitly states the rep helped them assisted them or got things done. Include: 'very helpful' 'he helped me' 'she assisted' 'helped me out' 'helped me a lot' 'so helpful' 'extremely helpful' 'took care of everything' 'handled it' 'got it done for me'. Distinguish from general praise (Overall Positive) by presence of help/assist/resolve language.",Positive,All,12500,14.4%,Workforce Management
People,Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.,Rep Helpfulness,The rep's actual ability to help resolve or address the customer's need — taking action rather than just being pleasant.,Rep Was Not Helpful,"Customer states rep failed to help or was unable to assist despite interaction. Include: 'no help at all' 'wasn't helpful' 'didn't help me' 'couldn't assist' 'wasn't of any help' 'no help' 'wasn't able to help' 'useless' 'did nothing for me' 'waste of my time talking to them'. Exclude rude behavior (see Attitude) and knowledge gaps (see Knowledge).",Negative,All,950,1.1%,QA / Coaching
People,Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.,Rep Helpfulness,The rep's actual ability to help resolve or address the customer's need — taking action rather than just being pleasant.,Rep Went Above and Beyond,"Customer indicates the rep exceeded expectations or did more than required. Include: 'went above and beyond' 'went the extra mile' 'did more than expected' 'exceeded expectations' 'bent over backwards' 'went out of their way' 'extraordinary effort' 'really went above and beyond for me'. Differentiate from standard helpfulness by the language of exceeding norms.",Positive,All,3200,3.7%,Workforce Management
People,Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.,Rep Attitude & Demeanor,How the rep presented themselves interpersonally — tone warmth courtesy and respect toward the customer.,Rep Was Friendly / Kind / Warm,"Customer describes rep as friendly kind warm nice pleasant sweet polite courteous wonderful lovely or delightful. Include: 'very friendly' 'so kind' 'very polite' 'nice attitude' 'pleasant voice' 'she was sweet' 'wonderful person' 'lovely woman' 'great personality'. Separate from helpful (Helpfulness topic) — this is about demeanor not action.",Positive,All,9800,11.3%,Workforce Management
People,Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.,Rep Attitude & Demeanor,How the rep presented themselves interpersonally — tone warmth courtesy and respect toward the customer.,Rep Was Rude / Disrespectful,"Customer describes rep as rude disrespectful nasty arrogant condescending dismissive mean snappy short or having an attitude. Include: 'she was rude' 'nasty attitude' 'very rude' 'disrespectful' 'heartless' 'arrogant' 'condescending' 'talked down to me' 'snappy' 'had an attitude'. High CX risk signal — escalation trigger.",Negative,All,420,0.5%,QA / Escalations
People,Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.,Rep Attitude & Demeanor,How the rep presented themselves interpersonally — tone warmth courtesy and respect toward the customer.,Rep Hung Up / Ended Call Prematurely,"Customer states rep hung up on them or disconnected the interaction without resolution. Include: 'hung up on me' 'she hung up' 'they disconnected me' 'he ended the call' 'I got hung up on' 'just hung up' 'terminated the call'. Distinct churn risk indicator. Exclude accidental technical drops (see Process — Call Dropped).",Negative,Care,185,0.2%,QA / Escalations
People,Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.,Rep Attitude & Demeanor,How the rep presented themselves interpersonally — tone warmth courtesy and respect toward the customer.,Rep Was Dismissive / Did Not Listen,"Rep did not engage refused to listen was dismissive or felt robotic. Include: 'did not listen' 'wouldn't listen' 'didn't listen' 'didn't care' 'impersonal' 'robotic' 'he didn't care about my problem' 'ignored what I said' 'talked over me' 'wasn't interested in helping'. Exclude general unhelpfulness without dismissive language.",Negative,All,220,0.3%,QA / Coaching
People,Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.,Rep Attitude & Demeanor,How the rep presented themselves interpersonally — tone warmth courtesy and respect toward the customer.,Rep Was Pushy / Aggressive Sales Approach,"Rep was overly aggressive in selling or pushing products and services the customer did not want. Include: 'too pushy' 'kept trying to sell me' 'wouldn't take no' 'aggressive' 'hard sell' 'wouldn't stop pushing' 'forced products on me' 'pressured me to add services'. Distinct from helpful upsell — customer explicitly felt pressure.",Negative,All,310,0.4%,Sales Leadership / QA
People,Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.,Rep Professionalism,The rep's conduct composure work ethic and professional standards during the interaction.,Rep Was Professional,"Customer uses professionalism language to describe the rep. Include: 'professional' 'very professional' 'professionalism' 'well spoken' 'composed' 'knowledgeable and professional' 'muy profesional' 'carried themselves well' 'business-like' 'proper'. High correlation with overall satisfaction.",Positive,All,6200,7.1%,Workforce Management
People,Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.,Rep Professionalism,The rep's conduct composure work ethic and professional standards during the interaction.,Rep Was Unprofessional / Incompetent,"Customer calls out unprofessional behavior or perceived incompetence. Include: 'unprofessional' 'incompetent' 'total failure' 'doesn't know what they're doing' 'poor conduct' 'needs retraining' 'clearly not trained' 'sloppy' 'careless'. Actionable for coaching — distinct from rude (Attitude) by focus on competence vs. demeanor.",Negative,All,180,0.2%,QA / Coaching
People,Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.,Rep Knowledge & Accuracy,How well the rep understood the product gave accurate information and demonstrated expertise.,Rep Was Knowledgeable / Accurate,"Customer indicates rep had strong product knowledge or gave accurate information. Include: 'knowledgeable' 'knew his stuff' 'very knowledgeable' 'knows the job' 'knew what they were doing' 'very informative' 'gave great info' 'well informed' 'knew the answer right away' 'expert'. Track for training effectiveness.",Positive,All,3800,4.4%,Training
People,Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.,Rep Knowledge & Accuracy,How well the rep understood the product gave accurate information and demonstrated expertise.,Rep Lacked Knowledge / Gave Wrong Information,"Rep gave incorrect information seemed uninformed confused or was clearly guessing. Include: 'wrong response' 'didn't know' 'poor knowledge' 'guessing at problem' 'gave wrong info' 'didn't have a clue' 'still learning' 'not trained' 'gave me bad information' 'told me wrong' 'misinformation'. Exclude intentional deception (see Dishonesty).",Negative,All,290,0.3%,Training / QA
People,Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.,Rep Knowledge & Accuracy,How well the rep understood the product gave accurate information and demonstrated expertise.,Rep Was Dishonest / Misleading / Deceptive,"Customer believes rep intentionally lied misled or deceived them about products pricing or account actions. Include: 'being lied to' 'I was lied to' 'she lied' 'misleading' 'he was not truthful' 'I was misguided' 'felt deceived' 'lied in contract' 'told me one thing did another' 'bait and switch'. High severity — flag for compliance investigation.",Negative,All,175,0.2%,QA / Compliance
