Category,Category_Definition,Topic,Topic_Definition,Sub_Topic,Sub_Topic_Definition,Polarity,Survey_Channel,Est_Count,Est_Pct,Actionable_Owner
Shop & Purchase,Feedback about the customer experience purchasing a new device or service line upgrading trading in or managing orders deliveries exchanges and returns through the Care channel (phone or digital).,Shop & Purchase,Shop and purchase interactions for Mobility and Broadband in the Care channel including setup activation upgrades trade-in fulfillment returns exchanges protection claims and unauthorized account changes.,New Account,Customer establishing a new Mobility line or Broadband service through the Care channel. Includes first-time account creation initial order placement and onboarding failures.,Mixed,Care,TBD,TBD,TBD
Shop & Purchase,Feedback about the customer experience purchasing a new device or service line upgrading trading in or managing orders deliveries exchanges and returns through the Care channel (phone or digital).,Shop & Purchase,Shop and purchase interactions for Mobility and Broadband in the Care channel including setup activation upgrades trade-in fulfillment returns exchanges protection claims and unauthorized account changes.,Activation & Porting,Activating a new SIM eSIM or device IMEI on an existing account or porting a phone number in from another carrier. Distinct from New Account in that the account already exists.,Mixed,Care,TBD,TBD,TBD
Shop & Purchase,Feedback about the customer experience purchasing a new device or service line upgrading trading in or managing orders deliveries exchanges and returns through the Care channel (phone or digital).,Shop & Purchase,Shop and purchase interactions for Mobility and Broadband in the Care channel including setup activation upgrades trade-in fulfillment returns exchanges protection claims and unauthorized account changes.,Add a Line,Adding a new Mobility line or broadband service line to an existing account via the Care channel.,Mixed,Care,TBD,TBD,TBD
Shop & Purchase,Feedback about the customer experience purchasing a new device or service line upgrading trading in or managing orders deliveries exchanges and returns through the Care channel (phone or digital).,Shop & Purchase,Shop and purchase interactions for Mobility and Broadband in the Care channel including setup activation upgrades trade-in fulfillment returns exchanges protection claims and unauthorized account changes.,Upgrade,Upgrading an existing Mobility device or Broadband speed tier or plan via the Care channel.,Mixed,Care,TBD,TBD,TBD
Shop & Purchase,Feedback about the customer experience purchasing a new device or service line upgrading trading in or managing orders deliveries exchanges and returns through the Care channel (phone or digital).,Shop & Purchase,Shop and purchase interactions for Mobility and Broadband in the Care channel including setup activation upgrades trade-in fulfillment returns exchanges protection claims and unauthorized account changes.,Trade-In,Trading an existing device for credit toward a new purchase via the Care channel. Covers value quoted at POS credit application to account device receipt confirmation and return logistics.,Mixed,Care,TBD,TBD,TBD
Shop & Purchase,Feedback about the customer experience purchasing a new device or service line upgrading trading in or managing orders deliveries exchanges and returns through the Care channel (phone or digital).,Shop & Purchase,Shop and purchase interactions for Mobility and Broadband in the Care channel including setup activation upgrades trade-in fulfillment returns exchanges protection claims and unauthorized account changes.,Fulfillment - Order,Order processing after a purchase decision is made via the Care channel. Covers order cancellation incorrect items payment processing and order status.,Mixed,Care,TBD,TBD,TBD
Shop & Purchase,Feedback about the customer experience purchasing a new device or service line upgrading trading in or managing orders deliveries exchanges and returns through the Care channel (phone or digital).,Shop & Purchase,Shop and purchase interactions for Mobility and Broadband in the Care channel including setup activation upgrades trade-in fulfillment returns exchanges protection claims and unauthorized account changes.,Fulfillment - Delivery,Physical shipment and last-mile delivery of devices or broadband equipment ordered through the Care channel.,Mixed,Care,TBD,TBD,TBD
Shop & Purchase,Feedback about the customer experience purchasing a new device or service line upgrading trading in or managing orders deliveries exchanges and returns through the Care channel (phone or digital).,Shop & Purchase,Shop and purchase interactions for Mobility and Broadband in the Care channel including setup activation upgrades trade-in fulfillment returns exchanges protection claims and unauthorized account changes.,Returns,Returning a device or broadband equipment through the Care channel. Covers return label logistics return window disclosure credit or refund confirmation and equipment return fees.,Mixed,Care,TBD,TBD,TBD
Shop & Purchase,Feedback about the customer experience purchasing a new device or service line upgrading trading in or managing orders deliveries exchanges and returns through the Care channel (phone or digital).,Shop & Purchase,Shop and purchase interactions for Mobility and Broadband in the Care channel including setup activation upgrades trade-in fulfillment returns exchanges protection claims and unauthorized account changes.,Exchange & Replace,Exchanging or replacing a device or broadband equipment that was received incorrectly or arrived damaged. Includes wrong items defective-on-arrival and undisclosed refurbished devices.,Mixed,Care,TBD,TBD,TBD
Shop & Purchase,Feedback about the customer experience purchasing a new device or service line upgrading trading in or managing orders deliveries exchanges and returns through the Care channel (phone or digital).,Shop & Purchase,Shop and purchase interactions for Mobility and Broadband in the Care channel including setup activation upgrades trade-in fulfillment returns exchanges protection claims and unauthorized account changes.,Warranty & Device Protection Exchange,Device replacement through a protection plan (ProTech) manufacturer warranty Next Up Anytime or insurance claim. Also captures unauthorized addition of protection plans during Shop & Purchase interactions.,Mixed,Care,TBD,TBD,TBD
Shop & Purchase,Feedback about the customer experience purchasing a new device or service line upgrading trading in or managing orders deliveries exchanges and returns through the Care channel (phone or digital).,Shop & Purchase,Shop and purchase interactions for Mobility and Broadband in the Care channel including setup activation upgrades trade-in fulfillment returns exchanges protection claims and unauthorized account changes.,Unauthorized Account Changes,Lines device protection plans features or services added to a customer's account without their explicit consent typically occurring during or immediately after a Shop & Purchase interaction.,Negative,Care,TBD,TBD,TBD
