Initial Prompt,Revised Prompt,Problem Statement,Expected Impact,Change Description
"Rep Was Courteous -> Customer explicitly describes the representative's positive demeanor during the interaction (e.g., polite, friendly, respectful, professional, patient). This theme measures tone and behavior, independent of whether the issue was resolved.","Rep Was Courteous -> Customer uses SPECIFIC DEMEANOR WORDS describing the representative's manner, tone, or interpersonal behavior (including but not limited to: polite, friendly, nice, kind, respectful, professional, patient, pleasant, sweet, courteous, understanding, empathetic, personable, gracious, warm, caring, considerate, attentive, accommodating, or similar demeanor descriptors). GENERIC PRAISE ALONE (e.g., ""great,"" ""fantastic,"" ""excellent,"" ""amazing,"" ""awesome,"" ""the best"") does NOT qualify unless accompanied by a demeanor descriptor. This theme measures HOW the rep interacted, not WHAT they accomplished. Spanish equivalents (including but not limited to: amable, cortés, educado, paciente, atento, or similar Spanish demeanor words) also qualify.","Generic praise words like ""great,"" ""fantastic,"" ""excellent"" were incorrectly triggering this theme. These vague positive sentiments do not describe demeanor or tone - they more likely infer helpfulness or general satisfaction. ~10% false positive rate identified.","Reduction in false positives (~4,618 records) More accurate measurement of actual demeanor/tone feedback Better distinction between courtesy (how) and helpfulness (what) Improved precision without losing valid courteous mentions","ADDED: Explicit list of qualifying demeanor words. ADDED: Spanish equivalents (amable, cortés, etc.). ADDED: Explicit exclusion of generic praise words unless paired with demeanor descriptor. CLARIFIED: ""nice"" and ""pleasant"" ARE valid courteous indicators. CLARIFIED: Distinction from helpfulness and knowledge themes."
"Rep Not Courteous -> Customer explicitly describes the representative's negative demeanor (e.g., rude, dismissive, disrespectful, hostile, pushy, unprofessional). Applies only to tone or behavior, not competence or outcome.","Rep Not Courteous -> Customer uses SPECIFIC NEGATIVE DEMEANOR WORDS describing the representative's manner, tone, or interpersonal behavior (including but not limited to: rude, dismissive, disrespectful, condescending, impatient, hostile, pushy, unprofessional, or similar negative demeanor descriptors). GENERIC NEGATIVE WORDS ALONE (e.g., ""terrible,"" ""awful,"" ""horrible,"" ""bad"") do NOT qualify unless accompanied by a demeanor descriptor. EXCLUDE: Background noise/technical issues (not rep demeanor). Perceived Trust (lied, misled) ONLY qualifies if explicitly attributed to the CURRENT rep, not previous reps or the company generally. Spanish equivalents (including but not limited to: grosero, maleducado, irrespetuoso, or similar Spanish negative demeanor words) also qualify.","Multiple issues identified: 1) Generic negative words (terrible, awful) triggering without demeanor context (~7.4% FP). 2) Background noise/technical issues misclassified as rep behavior (~1.8% FP). 3) Trust/honesty complaints about OTHER reps or AT&T generally being attributed to current rep (~6.1% FP).",Reduction in false positives (~15% of theme volume) More accurate attribution to current rep's behavior Technical/environmental issues excluded Better distinction from competence and helpfulness issues,ADDED: Explicit list of qualifying negative demeanor words. ADDED: Spanish equivalents. ADDED: Explicit exclusion of generic negative words. ADDED: Exclusion of background noise/technical issues. ADDED: Requirement that Perceived Trust mentions must be about CURRENT rep. CLARIFIED: Distinction from knowledge and helpfulness themes.
"Rep Was Helpful -> Customer states the representative provided effective assistance or problem?solving, including taking meaningful action, resolving the issue, accommodating the request, or making progress on the customer's behalf. This measures impact, not friendliness or knowledge alone.","Rep Was Helpful -> Customer describes the representative taking ACTION or achieving an OUTCOME using specific action/outcome words (including but not limited to: resolved, fixed, helped, handled, took care of, assisted, accommodated, made adjustment, went above and beyond, or similar action descriptors). GENERIC PRAISE ALONE (e.g., ""great service,"" ""excellent job"") does NOT qualify unless accompanied by action/outcome evidence. IF PROBLEM WAS RESOLVED ? classify as Rep Was Helpful (resolving problems is inherently helpful). ""Answered my questions"" defaults to Rep Was Helpful unless expertise is emphasized. Spanish equivalents (including but not limited to: ayudó, resolvió, arregló, or similar Spanish action words) also qualify.","Generic praise without action/outcome evidence was triggering this theme. Phrases like ""Customer service was excellent"" or ""great job"" don't indicate whether an action was taken or problem was resolved. ~10% false positive rate from generic praise.",Reduction in false positives from generic praise More accurate measurement of actual problem resolution Better distinction from courtesy (demeanor) and knowledge themes Clear rule for problem resolution ? helpful relationship,"ADDED: Explicit lists of outcome, action, and progress words. ADDED: Explicit exclusion of generic praise without action/outcome context. ADDED: Rule that ""answered questions"" defaults to Helpful. ADDED: Problem Resolution rule (resolved = helpful; not resolved ? not helpful). CLARIFIED: Distinction from courtesy and knowledge themes."
"Rep Not Helpful -> Customer states the representative failed to provide useful assistance, including inaction, refusal, wasted time, inability to move the issue forward, or leaving the problem unresolved. This applies even if the rep was polite or knowledgeable.","Rep Not Helpful -> Customer describes the representative's LACK OF ACTION or FAILURE TO ASSIST using specific inaction words (including but not limited to: refused, wouldn't help, didn't help, couldn't assist, useless, no help, wasted time, or similar inaction descriptors). GENERIC NEGATIVE WORDS ALONE (e.g., ""horrible service"") do NOT qualify. IF PROBLEM NOT RESOLVED ? DO NOT auto-classify as Rep Not Helpful. Company policies, system limitations, or field tech requirements may prevent resolution despite rep's efforts. Classify Rep Not Helpful ONLY when verbatim indicates rep's ACTIONS, EFFORT, or WILLINGNESS were lacking. ""Didn't answer my questions"" = Rep Not Helpful. ""Couldn't answer my questions"" = Rep Not Knowledgeable (ability gap). EXCLUDE: Perceived Trust mentions (dishonesty ? unhelpfulness). Spanish equivalents (including but not limited to: no ayudó, no resolvió, inútil, or similar Spanish inaction words) also qualify.","Multiple issues: 1) Generic negative words triggering without action context (~5.7% FP). 2) ""Problem not resolved"" being auto-classified as Rep Not Helpful when resolution may be outside rep's control. 3) Confusion with Rep Not Knowledgeable (""couldn't"" vs ""didn't"").","Reduction in false positives from generic negatives Proper handling of unresolved issues (not auto-tagged) Clear ""didn't/wouldn't"" vs ""couldn't/wasn't able"" distinction More accurate attribution of unhelpful behavior","ADDED: Explicit lists of inaction, failure, and effort gap words. ADDED: Explicit exclusion of generic negative words. ADDED: Clear rule that ""problem not resolved"" alone ? Rep Not Helpful. ADDED: ""Didn't"" = unhelpful vs ""Couldn't"" = unknowledgeable distinction. CLARIFIED: Focus on rep's actions/effort/willingness, not just outcome."
"Rep Was Knowledgeable -> Customer indicates the representative demonstrated competence or understanding, such as giving confident guidance, accurate explanations, or clearly knowing what to do. This theme measures capability, not whether the issue was fixed.","Rep Was Knowledgeable -> Customer explicitly describes the representative's competence, expertise, or understanding using SPECIFIC KNOWLEDGE WORDS (including but not limited to: knowledgeable, informative, competent, capable, expert, explained clearly, knew what to do, understood the issue, or similar expertise indicators). SURVEY LANGUAGE (""satisfied with ability,"" ""ability to assist"") does NOT qualify —this is survey question echo, not knowledge feedback. ""Answered my questions"" defaults to Rep Was Helpful; use Rep Was Knowledgeable ONLY when comment indicates rep answered correctly, confidently, or with clear expertise. ""Explained things"" defaults to Positive Rep Communication; use Rep Was Knowledgeable ONLY when explanation shows expertise, accurate understanding, or strong command of issue. Spanish equivalents (including but not limited to: informado, capaz, experto, explicó bien, or similar Spanish knowledge words) also qualify.","Two issues: 1) Survey language (""satisfied with [name]'s ability to assist"") triggering false positives (~2.6% of theme) - customers are correcting ratings, not describing knowledge. 2) Explicit knowledge feedback (""very knowledgeable,"" ""explained everything"") sometimes missed and tagged as No Feedback.","Reduction in false positives from survey language echo (~489 records) Increase in true positives by catching explicit knowledge descriptors Clear rules for ""answered questions"" and ""explained"" classification Better distinction from helpfulness and courtesy","ADDED: Explicit lists of knowledge, understanding, and explanation words. ADDED: Rule for ""answered questions"" (default Helpful, exception for expertise). ADDED: Rule for ""explained things"" (default communication, exception for expertise). ADDED: Explicit exclusion of survey language (""ability to assist""). ADDED: Spanish equivalents. CLARIFIED: Distinction from helpfulness and courtesy."
"Rep Not Knowledgeable -> Customer indicates the representative lacked competence or understanding (e.g., gave incorrect information, was confused, misinformed, or did not understand the issue). Applies even if the rep tried to help or was courteous.","Rep Not Knowledgeable -> Customer explicitly describes the representative's LACK of competence or understanding using SPECIFIC KNOWLEDGE-GAP WORDS (including but not limited to: clueless, incompetent, confused, didn't know, gave wrong information, needs training, incapable, or similar incompetence descriptors). EXCLUDE: Language Barrier/accent issues (communication issue, not knowledge —e.g., ""hard to understand,"" ""thick accent,"" ""couldn't understand him""). EXCLUDE: Error Correction patterns (""wrong answer"" referring to survey response). ""Couldn't answer my questions"" = Rep Not Knowledgeable (ability gap). ""Didn't answer my questions"" = Rep Not Helpful (effort gap). ""Could not explain the bill"" = Rep Not Knowledgeable (inability = knowledge gap). Perceived Trust (wrong information) qualifies ONLY if describing incorrect knowledge, not intentional deception. Spanish equivalents (including but not limited to: no sabía, incompetente, confundido, or similar Spanish incompetence words) also qualify.","Multiple issues: 1) Language barrier (~14.8% FP) - accent/communication issues misclassified as lack of knowledge. 2) Error Correction patterns (""wrong answer"") misinterpreted. 3) Perceived Trust overlap - need to distinguish incorrect knowledge from intentional deception.","Significant reduction in false positives (~15-20%) Language barrier issues properly excluded Clear ""couldn't"" (knowledge) vs ""didn't"" (effort) distinction Proper handling of ""wrong information"" context","ADDED: Explicit lists of lack of knowledge, inability, wrong info, and confusion words. ADDED: ""Couldn't"" = unknowledgeable vs ""Didn't"" = unhelpful distinction. ADDED: Explicit exclusion of language barrier issues (unless co-occurring with knowledge issues). ADDED: Exclusion of Error Correction patterns. ADDED: Guidance on Perceived Trust (deception vs. incorrect knowledge). CLARIFIED: Focus on capability gap."
"Bill Increase -> Customer explicitly states their bill increased compared to a prior bill or period (e.g., higher than last month). A comparison to previous billing is required.","Bill Increase -> Customer explicitly states their bill INCREASED using COMPARATIVE LANGUAGE indicating change from a prior period or expectation (including but not limited to: ""went up,"" ""increased,"" ""higher than before,"" ""higher than last month,"" ""more than I was paying,"" ""keeps going up,"" ""jumped,"" or similar comparative language). A comparison to previous billing or stated expectation IS REQUIRED. Implicit change language (""now paying $X,"" ""suddenly paying more,"" ""bill shocked me"") qualifies when context implies increase. Does NOT apply to absolute price complaints without comparison —those are Bill Too High.","Potential overlap with Bill Too High. Customers saying ""my bill is too high now"" could trigger both themes. Need clear disambiguation: Bill Increase requires explicit comparison to prior period; Bill Too High is absolute judgment about price level.",Clear separation from Bill Too High theme More accurate capture of actual billing changes Better insights for pricing strategy (rate increases vs. affordability) Reduced misclassification of ambiguous verbatims,"ADDED: Explicit COMPARATIVE language requirement. ADDED: Examples of temporal comparisons, change verbs, before/after patterns. ADDED: Guidance on implicit change patterns. ADDED: Note about competitor comparisons (may be Perceived Trust). CLARIFIED: Distinction from Bill Too High (change vs. absolute level)."
"Bill Too High -> Customer expresses that their bill is too expensive overall, regardless of whether it changed from prior periods. No comparison is required.","Bill Too High -> Customer expresses that their bill is TOO EXPENSIVE as an ABSOLUTE JUDGMENT using affordability language (including but not limited to: ""too expensive,"" ""too high,"" ""too much,"" ""can't afford,"" ""outrageous,"" ""overpriced,"" ""ridiculous price,"" or similar affordability language). NO comparison to prior period is required. DISTINCTION: ""Overcharged"" = Bill Dispute (claims error); ""Overpriced"" = Bill Too High (too expensive). Does NOT require comparison —applies to overall price dissatisfaction. Spanish equivalents (including but not limited to: muy caro, demasiado, no puedo pagar, or similar Spanish affordability words) also qualify.","Potential overlap with Bill Increase and Bill Dispute. Need clear rules: 1) Bill Too High = absolute price judgment, no comparison needed. 2) ""Overcharged"" should be Bill Dispute (error claim), not Bill Too High. 3) ""Overpriced"" is Bill Too High.","Clear separation from Bill Increase theme Proper routing of ""overcharged"" to Bill Dispute More accurate capture of affordability concerns Better insights for pricing vs. billing accuracy issues","ADDED: Explicit ABSOLUTE judgment language requirement. ADDED: Examples of cost, value, and affordability patterns. ADDED: ""Overcharged"" vs ""Overpriced"" distinction (overcharged = Dispute, overpriced = Too High). CLARIFIED: Distinction from Bill Increase and Bill Dispute. CLARIFIED: When to apply both Bill themes."
"No Feedback -> Verbatim provides no evaluative content about the interaction (e.g., ""no,"" ""none,"" ""n/a,"" ""nothing,"" ""ok,"" ""thank you"") and does not express an opinion or assessment.","No Feedback -> Verbatim is a BRIEF, NON-SUBSTANTIVE response indicating the customer has nothing to share (including but not limited to: ""no,"" ""none,"" ""n/a,"" ""nothing,"" ""no comment,"" ""nothing further,"" ""I'm good,"" ""nope,"" ""all good,"" ""that's it,"" ""thank you,"" ""thanks,"" ""ok,"" ""okay,"" or similar brief opt-out responses). Typically ?5 words. This theme captures EXPLICIT OPT-OUTS from providing feedback. It should NOT be used as a DEFAULT when other themes do not apply. Verbatims containing SUBSTANTIVE CONTENT (even if off-topic or unclassifiable) should NOT be tagged as No Feedback —leave unclassified instead. Spanish equivalents (including but not limited to: nada, ninguno, todo bien, gracias, or similar Spanish brief responses) also qualify.","Theme was being used as a catch-all default when no other theme matched. This is NOT the intended purpose. No Feedback should ONLY capture brief opt-out responses like ""nothing,"" ""n/a,"" ""I'm good"" - not substantive comments that happen to be unclassifiable.",More accurate tagging - only truly non-substantive responses Substantive unclassifiable verbatims will have NO theme (highlights taxonomy gaps) Better signal quality for measuring actual feedback rates Identification of potential new themes needed,"ADDED: Explicit requirement for BRIEF (?5 words) responses. ADDED: Comprehensive list of qualifying opt-out phrases. ADDED: Explicit statement that this is NOT a catch-all default. ADDED: Clear guidance on what does NOT qualify (substantive content). CLARIFIED: Unclassifiable substantive content should remain untagged, not No Feedback."
"Error Correction -> Customer indicates they entered the wrong survey rating or response and is correcting it. Applies to input correction, not identity mismatch.","Error Correction -> Customer indicates they entered the WRONG SURVEY RATING or response and is attempting to CORRECT it. This includes (but is not limited to): EXPLICIT ERROR MENTIONS (""mistake,"" ""error,"" ""wrong,"" ""oops,"" ""sorry,"" ""meant to,"" ""I ment""); DIRECT VALUE CORRECTIONS (""It was a 5,"" ""I meant 1,"" ""should be 5,"" ""Era 5,"" ""Fue 5""); QUESTION-SPECIFIC CORRECTIONS (""Q1 is 5,"" ""first question is 5,"" ""#1 = 5,"" ""Answer to Q2 is Yes,"" ""5 for question 1""); REP-REFERENCED CORRECTIONS (""5 for [Rep Name],"" ""give them a 5,"" ""Mark deserves a 5""); YES/NO CORRECTIONS for Q2 (""1=Yes,"" ""2=No,"" ""it was Yes""); TYPO PATTERNS (""I ment,"" ""suppose to be""); or similar correction patterns. Applies to input correction, not identity mismatch.","Current definition requires explicit ""error/mistake"" words, but customers use many contextual patterns to correct their responses: ""It was a 5,"" ""Era 5,"" ""5 for Mia,"" ""Q1=5,"" ""1=yes."" These are being missed, leading to low recall (~65%).","Significant increase in Error Correction detection More accurate removal of mis-rated surveys from analysis Better data quality for rep satisfaction scoring Reduction in false ""No Feedback"" where customer was correcting","ADDED: Survey context (Q1, Q2, Q3 structure). ADDED: Multiple correction pattern categories (explicit, direct value, question reference, rep-name, Yes/No, typos). ADDED: Spanish equivalents. ADDED: Guidance on ""5 stars"" as emphasis vs. correction. EXPANDED: From narrow keyword match to comprehensive contextual patterns."
