Current_Category,Current_Topic,Current_Sub_Topic,Survey_Channel,Est_Count,Est_Pct,V5_Reporting_Category,V5_Reporting_Topic,V5_Reporting_Sub_Topic,Scorecard_Tier,Probation_Days,Strategic_Protection,Change_Type,Rationale
People,Overall Rep Satisfaction,Rep Overall Negative (General Dissatisfaction),All,102,0.11%,People,Overall Rep Satisfaction,Rep Overall Negative (General Dissatisfaction),Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
People,Overall Rep Satisfaction,Rep Overall Positive (General Praise),All,17,0.02%,People,Overall Rep Satisfaction,Rep Overall Positive (General Praise),Probation parking lot,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
People,Rep Accountability & Follow-Through,Rep Did Not Follow Through / Broken Promise,All,1797,1.85%,People,Rep Accountability & Follow-Through,Rep Did Not Follow Through / Broken Promise,Protected (show in analyst + governance views),0,Yes,No structure change; visibility tier change,Strategic-risk or accessibility signal; keep distinct regardless of volume.
People,Rep Accountability & Follow-Through,Rep Followed Through on Promises,All,179,0.19%,People,Rep Accountability & Follow-Through,Rep Followed Through on Promises,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
People,Rep Accountability & Follow-Through,Rep Passed the Buck / No Ownership,All,12,0.01%,People,Rep Accountability & Follow-Through,Rep Passed the Buck / No Ownership,Probation parking lot,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
People,Rep Accountability & Follow-Through,Rep Took Ownership of the Issue,All,221,0.23%,People,Rep Accountability & Follow-Through,Rep Took Ownership of the Issue,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
People,Rep Attitude & Demeanor,Rep Hung Up / Ended Call Prematurely,Care,349,0.36%,People,Rep Attitude & Demeanor,Rep Hung Up / Ended Call Prematurely,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
People,Rep Attitude & Demeanor,Rep Was Dismissive / Did Not Listen,All,209,0.22%,People,Rep Attitude & Demeanor,Rep Was Dismissive / Did Not Listen,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
People,Rep Attitude & Demeanor,Rep Was Friendly / Kind / Warm,All,4266,4.40%,People,Rep Attitude & Demeanor,Rep Was Friendly / Kind / Warm,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
People,Rep Attitude & Demeanor,Rep Was Pushy / Aggressive Sales Approach,All,13,0.01%,People,Rep Attitude & Demeanor,Rep Was Pushy / Aggressive Sales Approach,Probation parking lot,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
People,Rep Attitude & Demeanor,Rep Was Rude / Disrespectful,All,190,0.20%,People,Rep Attitude & Demeanor,Rep Was Rude / Disrespectful,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
People,Rep Communication,Language Barrier or Comprehension Issue,Care,90,0.09%,People,Rep Communication,Language Barrier or Comprehension Issue,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
People,Rep Communication,Poor Listening or Interruptive Behavior,All,72,0.07%,People,Rep Communication,Poor Listening or Interruptive Behavior,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
People,Rep Communication,Rep Communicated Clearly & Effectively,All,37,0.04%,People,Rep Communication,Rep Communicated Clearly & Effectively,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
People,Rep Communication,Request for Different Communication Support,Care,527,0.54%,People,Rep Communication,Request for Different Communication Support,Protected (show in analyst + governance views),0,Yes,No structure change; visibility tier change,Strategic-risk or accessibility signal; keep distinct regardless of volume.
People,Rep Communication,"Unclear, Incomplete, or Confusing Communication",All,11,0.01%,People,Rep Communication,"Unclear, Incomplete, or Confusing Communication",Probation parking lot,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
