Category,Category_Definition,Topic,Topic_Definition,Sub_Topic,Sub_Topic_Definition,Polarity
People,Feedback concerning staff performance or behavior - interactions with call-center agents support staff sales reps etc. including helpfulness professionalism knowledge attitude.,Rep Helpfulness,Feedback about the rep's ability to assist and resolve the customer's need.,Rep Was Helpful,"Customer explicitly states the rep was helpful, assisted them, or got things done. Include: 'very helpful', 'she helped me', 'he assisted me', 'helped me out'. Exclude: general satisfaction statements without reference to help.",Positive
People,Feedback concerning staff performance or behavior - interactions with call-center agents support staff sales reps etc. including helpfulness professionalism knowledge attitude.,Rep Helpfulness,Feedback about the rep's ability to assist and resolve the customer's need.,Rep Was Not Helpful,"Customer states the rep was unhelpful, unable to assist, or failed to address their need. Include: 'no help at all', 'wasn't helpful', 'didn't help me', 'couldn't assist'. Exclude: rude behavior (see Rep Attitude).",Negative
People,Feedback concerning staff performance or behavior - interactions with call-center agents support staff sales reps etc. including helpfulness professionalism knowledge attitude.,Rep Attitude & Demeanor,Feedback about the rep's interpersonal behavior - tone courtesy and respect toward the customer.,Rep Was Friendly / Polite / Kind,"Customer describes the rep as friendly, kind, polite, courteous, nice, or pleasant. Include: 'very friendly', 'so kind', 'very polite', 'courteous', 'pleasant voice'. Exclude: helpful (see Rep Helpfulness).",Positive
People,Feedback concerning staff performance or behavior - interactions with call-center agents support staff sales reps etc. including helpfulness professionalism knowledge attitude.,Rep Attitude & Demeanor,Feedback about the rep's interpersonal behavior - tone courtesy and respect toward the customer.,Rep Was Rude / Disrespectful,"Customer describes the rep as rude, disrespectful, arrogant, dismissive, or unprofessional in demeanor. Include: 'she was rude', 'nasty attitude', 'very rude', 'disrespectful', 'heartless'. Exclude: being unhelpful without attitude reference.",Negative
People,Feedback concerning staff performance or behavior - interactions with call-center agents support staff sales reps etc. including helpfulness professionalism knowledge attitude.,Rep Attitude & Demeanor,Feedback about the rep's interpersonal behavior - tone courtesy and respect toward the customer.,Rep Hung Up / Disconnected Call,"Customer states the rep hung up on them or the call was ended by the rep. Include: 'hung up on me', 'she hung up', 'they disconnected me'. Exclude: call drops due to technical issues.",Negative
People,Feedback concerning staff performance or behavior - interactions with call-center agents support staff sales reps etc. including helpfulness professionalism knowledge attitude.,Rep Professionalism,Feedback about the rep's professional conduct - composure thoroughness and work ethic.,Rep Was Professional,"Customer uses words like 'professional', 'professionalism', 'very professional', 'well spoken', 'composed'. Include Spanish equivalents: 'muy profesional'. Exclude friendly/kind (see Rep Attitude).",Positive
People,Feedback concerning staff performance or behavior - interactions with call-center agents support staff sales reps etc. including helpfulness professionalism knowledge attitude.,Rep Professionalism,Feedback about the rep's professional conduct - composure thoroughness and work ethic.,Rep Was Unprofessional,"Customer describes conduct as unprofessional, incompetent, or below standard. Include: 'incompetence', 'total failure', 'no professionalism'. Exclude rudeness (see Rep Attitude - Rude).",Negative
People,Feedback concerning staff performance or behavior - interactions with call-center agents support staff sales reps etc. including helpfulness professionalism knowledge attitude.,Rep Knowledge,Feedback about the rep's level of expertise product knowledge and accuracy of information.,Rep Was Knowledgeable,"Customer indicates the rep was knowledgeable, knew the product, gave accurate information. Include: 'knowledgeable', 'knew his stuff', 'very knowledge', 'knows the job'. Exclude general helpfulness.",Positive
People,Feedback concerning staff performance or behavior - interactions with call-center agents support staff sales reps etc. including helpfulness professionalism knowledge attitude.,Rep Knowledge,Feedback about the rep's level of expertise product knowledge and accuracy of information.,Rep Lacked Knowledge / Gave Wrong Info,"Customer indicates rep was uninformed, gave incorrect info, guessed, or was confused. Include: 'wrong response', 'didn't know', 'poor knowledge', 'still learning', 'guessing at problem', 'didn't have a clue'. Exclude deception (see Dishonesty).",Negative
People,Feedback concerning staff performance or behavior - interactions with call-center agents support staff sales reps etc. including helpfulness professionalism knowledge attitude.,Rep Knowledge,Feedback about the rep's level of expertise product knowledge and accuracy of information.,Rep Was Dishonest / Misleading,"Customer believes the rep lied, deceived, or misled them. Include: 'being lied to', 'I was lied to', 'she lied', 'misleading', 'scammed', 'deceived', 'not truthful'. Exclude general dissatisfaction.",Negative
