Category,Category_Definition,Topic,Topic_Definition,Sub_Topic,Sub_Topic_Definition,Polarity,Est_Count,Est_Pct,Actionable_Owner
People,Feedback about staff performance behavior and interpersonal interactions with reps agents or technicians.,Rep Helpfulness,The rep's actual ability to help resolve or address the customer's need.,Rep Was Helpful,"Customer explicitly states the rep helped them or got things done. Include: 'very helpful', 'he helped me', 'she assisted', 'helped me out', 'helped me a lot', 'so helpful', 'extremely helpful'. Distinguish from general praise (Overall Positive) by presence of help/assist language.",Positive,12500,14.4%,Workforce Management
People,Feedback about staff performance behavior and interpersonal interactions with reps agents or technicians.,Rep Helpfulness,The rep's actual ability to help resolve or address the customer's need.,Rep Was Not Helpful,"Customer states rep failed to help or was unable to assist. Include: 'no help at all', 'wasn't helpful', 'didn't help me', 'couldn't assist', 'wasn't of any help', 'no help', 'wasn't able to help'. Exclude rude behavior (see Attitude topic).",Negative,950,1.1%,QA / Coaching
People,Feedback about staff performance behavior and interpersonal interactions with reps agents or technicians.,Rep Attitude & Demeanor,How the rep presented themselves interpersonally — tone warmth courtesy and respect.,Rep Was Friendly / Kind / Warm,"Customer describes rep as friendly, kind, warm, nice, pleasant, sweet, polite, courteous, wonderful, lovely, delightful. Include: 'very friendly', 'so kind', 'very polite', 'nice attitude', 'pleasant voice', 'she was sweet'. Separate from helpful (helpfulness sub-topic).",Positive,9800,11.3%,Workforce Management
People,Feedback about staff performance behavior and interpersonal interactions with reps agents or technicians.,Rep Attitude & Demeanor,How the rep presented themselves interpersonally — tone warmth courtesy and respect.,Rep Was Rude / Disrespectful,"Customer describes rep as rude, disrespectful, nasty, arrogant, condescending, dismissive, or mean. Include: 'she was rude', 'nasty attitude', 'very rude', 'disrespectful', 'heartless', 'arrogant woman', 'condescending'. High CX risk signal.",Negative,420,0.5%,QA / Escalations
People,Feedback about staff performance behavior and interpersonal interactions with reps agents or technicians.,Rep Attitude & Demeanor,How the rep presented themselves interpersonally — tone warmth courtesy and respect.,Rep Hung Up / Ended Call Prematurely,"Customer states rep hung up on them or disconnected without resolution. Include: 'hung up on me', 'she hung up', 'they disconnected me', 'he ended the call', 'I got hung up on'. Distinct churn risk indicator. Exclude accidental drops.",Negative,185,0.2%,QA / Escalations
People,Feedback about staff performance behavior and interpersonal interactions with reps agents or technicians.,Rep Attitude & Demeanor,How the rep presented themselves interpersonally — tone warmth courtesy and respect.,Rep Was Impersonal / Dismissive / Did Not Listen,"Rep did not engage, felt robotic, dismissive, or refused to listen. Include: 'did not listen', 'wouldn't listen', 'didn't listen', 'too pushy', 'didn't care', 'impersonal', 'he didn't care about my problem'. Exclude general unhelpfulness.",Negative,220,0.3%,QA / Coaching
People,Feedback about staff performance behavior and interpersonal interactions with reps agents or technicians.,Rep Professionalism,The rep's conduct composure work ethic and professional standards.,Rep Was Professional,"Customer uses professionalism language. Include: 'professional', 'very professional', 'professionalism', 'well spoken', 'composed', 'knowledgeable and professional', 'muy profesional'. High correlation with overall satisfaction.",Positive,6200,7.1%,Workforce Management
People,Feedback about staff performance behavior and interpersonal interactions with reps agents or technicians.,Rep Professionalism,The rep's conduct composure work ethic and professional standards.,Rep Was Unprofessional / Incompetent,"Customer calls out unprofessional behavior or perceived incompetence. Include: 'unprofessional', 'incompetent', 'total failure', 'doesn't know what they're doing', 'poor conduct', 'needs retraining'. Actionable for coaching.",Negative,180,0.2%,QA / Coaching
People,Feedback about staff performance behavior and interpersonal interactions with reps agents or technicians.,Rep Knowledge & Accuracy,How well the rep understood the product gave accurate information and demonstrated expertise.,Rep Was Knowledgeable / Accurate,"Customer indicates rep had strong product knowledge or gave accurate information. Include: 'knowledgeable', 'knew his stuff', 'very knowledgeable', 'knows the job', 'knew what they were doing', 'very informative', 'gave great info'. Track for training effectiveness.",Positive,3800,4.4%,Training
People,Feedback about staff performance behavior and interpersonal interactions with reps agents or technicians.,Rep Knowledge & Accuracy,How well the rep understood the product gave accurate information and demonstrated expertise.,Rep Lacked Knowledge / Gave Wrong Information,"Rep gave incorrect information, seemed uninformed, or was confused. Include: 'wrong response', 'didn't know', 'poor knowledge', 'guessing at problem', 'gave wrong info', 'didn't have a clue', 'still learning', 'not trained'. Exclude intentional deception (see Dishonesty).",Negative,290,0.3%,Training / QA
