Category,Category_Definition,Topic,Topic_Definition,Sub_Topic,Sub_Topic_Definition,Polarity,Survey_Channel,Est_Count,Est_Pct,Actionable_Owner
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolve issues navigate systems and complete the customer's goal.,Issue Resolution & Outcome,Whether the customer's issue or request was actually resolved during the interaction.,Issue Resolved / Problem Solved,"Customer confirms issue was resolved or problem was fixed. Include: 'issue resolved' 'problem solved' 'fixed' 'resolved my issue' 'got it done' 'resolved pronto' 'todo resuelto' 'fixed the ticket' 'taken care of' 'all good now' 'everything is working'. Primary resolution metric — track for FCR correlation.",Positive,All,2800,3.2%,Operations
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolve issues navigate systems and complete the customer's goal.,Issue Resolution & Outcome,Whether the customer's issue or request was actually resolved during the interaction.,Issue Not Resolved / Still Unresolved,"Customer confirms issue was not resolved or is still ongoing after the interaction. Include: 'issue not fixed' 'not resolved' 'still not working' 'nothing resolved' 'still have a problem' 'never finished' 'still unresolved' 'problem not solved' 'still isn't resolved' 'didn't fix anything'. Direct CSAT detractor — recontact driver.",Negative,All,680,0.8%,Operations / Escalations
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolve issues navigate systems and complete the customer's goal.,Issue Resolution & Outcome,Whether the customer's issue or request was actually resolved during the interaction.,Partial Resolution / Issue Ongoing,"Customer indicates some progress but issue not fully resolved — still waiting for results or in progress. Include: 'still in progress' 'partially fixed' 'working on it' 'time will tell' 'waiting on results' 'not done yet' 'solved for now' 'we'll see' 'supposed to be fixed in 24 hours'. Track for recontact risk.",Neutral,All,310,0.4%,Operations
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolve issues navigate systems and complete the customer's goal.,Issue Resolution & Outcome,Whether the customer's issue or request was actually resolved during the interaction.,Resolved on First Contact,"Customer explicitly states or implies issue was handled in a single contact without needing to call back. Include: 'fixed it first call' 'handled in one call' 'didn't have to call back' 'resolved right then' 'one and done' 'took care of it immediately' 'first person fixed it'. FCR positive signal — operational excellence indicator.",Positive,All,1200,1.4%,Operations
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolve issues navigate systems and complete the customer's goal.,Issue Resolution & Outcome,Whether the customer's issue or request was actually resolved during the interaction.,Required Multiple Contacts to Resolve,"Customer had to contact AT&T multiple times for the same issue before it was resolved. Include: 'called 5 times' 'this is my third call' 'had to keep calling' 'been calling for weeks' 'multiple calls for same issue' 'keeps happening every month' 'been dealing with this for months' 'called over and over'. HIGH effort signal — strongest churn predictor.",Negative,All,420,0.5%,Operations / Process Design
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolve issues navigate systems and complete the customer's goal.,Wait Time & Speed of Service,Time spent waiting — on hold in queue for callback or for service to begin.,Wait Time Too Long / Long Hold,"Customer complains about wait time or time on hold before reaching a rep. Include: 'long wait time' 'took too long' 'too long on hold' 'waited too long' 'long hold' 'takes too long' 'long waiting time' 'took an hour' 'wait time insulting' 'on hold for 45 minutes'. Strong CSAT detractor — staffing signal.",Negative,Care,820,0.9%,Operations / Staffing
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolve issues navigate systems and complete the customer's goal.,Wait Time & Speed of Service,Time spent waiting — on hold in queue for callback or for service to begin.,Service Was Fast / Quick / Efficient,"Customer positively mentions speed or efficiency of service. Include: 'fast and easy' 'quick service' 'quick response' 'no wait' 'prompt service' 'fast service' 'efficient' 'responded quickly' 'rapid' 'didn't have to wait at all' 'in and out'. Track as differentiator across channels.",Positive,All,1800,2.1%,Operations
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolve issues navigate systems and complete the customer's goal.,Wait Time & Speed of Service,Time spent waiting — on hold in queue for callback or for service to begin.,Request for Shorter Wait / More Staffing,"Customer explicitly requests shorter wait times or more reps. Include: 'need more reps' 'hire more people' 'shorter wait times' 'shorten hold time' 'answer your phones' 'need more employees' 'get more staff' 'reduce wait times'. Operations staffing signal — distinct from complaint by being a direct recommendation.",Negative,Care,140,0.2%,Operations / Staffing
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolve issues navigate systems and complete the customer's goal.,Wait Time & Speed of Service,Time spent waiting — on hold in queue for callback or for service to begin.,Overall Interaction Took Too Long,"Customer says the total interaction time was excessive — not just wait/hold but the entire call or visit duration. Include: 'took 2 hours total' 'was on the phone for an hour' 'shouldn't take this long' 'wasted my whole day' 'entire afternoon on the phone' 'spent 3 hours in the store' 'way too long for a simple task'. Distinct from hold time — captures total effort.",Negative,All,350,0.4%,Process Design
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolve issues navigate systems and complete the customer's goal.,Ease of Interaction & Process Friction,How easy or difficult the overall interaction experience felt — from reaching the rep to completing the task.,Interaction Was Easy / Smooth / Seamless,"Customer describes interaction as easy smooth seamless painless or simple. Include: 'easy process' 'went smoothly' 'seamless' 'painless' 'no hassle' 'simple and easy' 'quick and easy' 'easy and quick' 'effortless' 'couldn't have been easier' 'so simple'. Benchmark for process design — CES (Customer Effort Score) proxy.",Positive,All,2400,2.8%,CX Design
